,time (ns),deg test,absolute error (deg),RHEE manual x-,RHEE manual y-,RHEE proprio x-,RHEE proprio y-,RTOE manual x-,RTOE manual y-,RTOE proprio x-,RTOE proprio y-
0,1712821856419002600,-5,3.357062027663382,149.52934236315676,318.6792112026938,149.85963300739905,319.45870533746574,-106.24849790139086,280.7696339818976,-103.72700325217468,266.53868585855327
1,1712821964398760300,10,0.5418401012579617,95.68926661235145,380.9612172835127,97.9993845788313,378.87402662208945,-114.9221879642193,364.0690816906902,-114.65388921844972,363.8406289238965
2,1712821982142389800,-10,1.882681564807978,83.53879138036969,364.8598348416141,83.03658867146694,362.7392919478076,-110.82576885168325,277.8557806125364,-108.8254330927543,269.17203906025054
3,1712822001493987500,-15,1.7275944788175188,80.41121720096329,359.79838061362045,79.81698291911404,359.3626150754561,-104.01077553638285,252.7011970382561,-101.56206499853691,246.58658760788288
4,1712822012787752900,5,0.022268516776581038,94.07070030368132,376.4347219335804,94.79754994870844,376.19383479752264,-115.81493115940785,343.1777365511647,-115.75598353214237,342.74712510514087
5,1712822025559487500,15,0.3595423286046779,99.28581212431072,382.70997029064574,99.38778874403174,380.68743222716193,-111.59162402424882,381.63654940952995,-112.36354351678855,378.2806872509961
6,1712822043761109600,15,6.210912426969074,97.29785624349023,378.51090462201995,100.83259246992122,384.57199271258673,-114.92982231496151,363.9827092011423,-108.92389120243008,392.9776122142448
7,1712822059618779600,-15,1.393294724246097,81.62004519050858,360.86771448639604,81.45325694707944,360.0450743653938,-104.5015423536322,255.19497647983354,-102.56749739967591,249.5636140658201
8,1712822074422472000,10,1.4244088545411882,95.99272987419296,380.8760847188372,98.62647527119346,379.10939388176956,-114.18870275265023,361.09498987825293,-114.50901060383137,364.38451283152284
9,1712822086649218000,-5,3.4333969535503215,86.66901998881728,368.5835744981946,84.79133847799777,366.45254669456574,-113.69410399776159,294.75864299407266,-111.14664337844908,280.6048716178793
10,1712822102763882900,5,0.8065444946138154,93.93851514811766,376.65012556180204,93.69553706047917,376.48555624260956,-116.7554510347201,341.4426185784766,-116.31974006377435,338.34518691879884
11,1712822117033586500,-10,2.801114484479914,83.29543016477348,365.57975343891485,81.99626697589936,362.5712750058555,-109.66466546313347,274.3701168168993,-106.51344971379518,261.9139879013165
12,1712822131663349500,10,1.6952635862693537,94.51115503849624,380.0709662200207,96.16800407088152,381.56729126712355,-115.60848860837478,357.76692307877954,-114.6042978053328,365.4826382222003
13,1712822144863219100,-5,0.1583579934157875,86.76980733465295,370.09542413566396,86.75275016118306,370.24118813822713,-114.06274732379237,297.9429756989974,-114.15659175524732,298.6874915477567
14,1712822159869076000,15,0.0955814787062308,98.63445986762883,383.7351568498174,98.43397196678612,383.34079574285573,-112.07206099036384,379.65344932706165,-112.29847332644235,378.90689612264447
15,1712822176386917100,-15,1.798343976953447,80.4104138182013,361.47864775748536,80.84856081837508,359.25909628242914,-105.70437399930577,256.9972395633842,-102.26482206264961,248.76580739025965
16,1712822189424792100,5,3.8290999855207835,94.13599679492089,376.9909436712199,97.41631595877956,378.7547512397892,-116.85097931349647,343.617012848846,-115.36792921078434,359.5416034705712
17,1712822202554666500,-10,6.291589433939414,84.24944088366775,365.76998809125877,80.843389030566,359.4421958151588,-110.98387537747685,278.62726727454367,-103.71255129184695,251.4007270308834
