Trajectories
100
,,S36:LKNM,,,S36:RKNM,,,S36:LMED,,,S36:RMED,,,S36:LASI,,,S36:RASI,,,S36:LPSI,,,S36:RPSI,,,S36:LTHI,,,S36:LKNE,,,S36:LTIB,,,S36:LANK,,,S36:LHEE,,,S36:LTOE,,,S36:RTHI,,,S36:RKNE,,,S36:RTIB,,,S36:RANK,,,S36:RHEE,,,S36:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
10,0,-611.363525,242.337006,528.384521,-632.484558,341.979980,533.119385,-597.927979,198.300919,137.768890,-603.448914,401.732849,134.338989,-738.912048,163.331055,1063.005615,-740.064453,422.174774,1060.966553,-540.708984,242.180283,1067.610840,-541.635254,340.518158,1067.609619,-656.262329,109.955116,696.297607,-604.750000,115.678490,549.500061,-577.208862,89.679466,372.309906,-580.995850,107.380684,118.332283,-506.610229,158.125412,72.932419,-768.109863,127.963799,84.843620,-640.503418,464.050354,661.698853,-612.594238,465.969727,550.096130,-595.472595,502.348297,360.210785,-593.993530,492.288330,127.233864,-515.733093,453.770233,74.705147,-778.619019,465.105499,83.616890
11,0,-611.398987,242.295624,528.377441,-632.538269,341.975739,533.114868,-597.883301,198.342087,137.766739,-603.435120,401.730713,134.355820,-738.814819,163.307632,1063.038452,-740.050049,422.166229,1060.981689,-540.629211,242.187042,1067.561035,-541.594238,340.531860,1067.558960,-656.238098,109.942902,696.302795,-604.786560,115.669220,549.481445,-577.228210,89.689018,372.297760,-580.994690,107.379074,118.325104,-506.594421,158.125977,72.933617,-768.107056,127.967445,84.851875,-640.566406,464.029510,661.687073,-612.636719,465.962555,550.084778,-595.493591,502.330231,360.200836,-593.994324,492.279236,127.235817,-515.723877,453.769104,74.713341,-778.619080,465.109711,83.614693
12,0,-611.405396,242.295288,528.375122,-632.525330,341.961639,533.113586,-597.939026,198.295090,137.788208,-603.423340,401.722137,134.335098,-738.697632,163.287186,1063.056274,-740.028503,422.141418,1060.991943,-540.539673,242.197342,1067.527832,-541.534180,340.550476,1067.520874,-656.231934,109.940605,696.310425,-604.825256,115.669197,549.465332,-577.231812,89.668968,372.289520,-580.987244,107.378532,118.317764,-506.602936,158.117828,72.936523,-768.113586,127.973541,84.854904,-640.601562,464.021729,661.690491,-612.678162,465.939819,550.090759,-595.523254,502.340027,360.213226,-593.999023,492.302399,127.241417,-515.729370,453.771362,74.711624,-778.623657,465.102417,83.627724
13,0,-611.407349,242.271530,528.381653,-632.562256,341.958466,533.127747,-597.876038,198.284927,137.766968,-603.447937,401.739777,134.348877,-738.550110,163.251770,1063.067017,-740.028442,422.112518,1061.010986,-540.446289,242.236084,1067.505859,-541.463074,340.551727,1067.494873,-656.172791,109.910629,696.331787,-604.830139,115.653351,549.459717,-577.260681,89.663498,372.293121,-580.999939,107.372055,118.318764,-506.606293,158.119934,72.944756,-768.107483,127.957481,84.870354,-640.639832,464.026428,661.718140,-612.710693,465.932220,550.105286,-595.543518,502.329285,360.222382,-594.016602,492.284149,127.249092,-515.723328,453.770996,74.719833,-778.616089,465.097626,83.629517
14,0,-611.423828,242.254959,528.388977,-632.562744,341.948700,533.125183,-597.913391,198.261887,137.769623,-603.447754,401.730255,134.343826,-738.438232,163.209000,1063.089600,-739.986755,422.092621,1061.017334,-540.319092,242.247208,1067.498535,-541.395630,340.569305,1067.464233,-656.165161,109.928047,696.331787,-604.847534,115.647339,549.455933,-577.256836,89.648926,372.272797,-580.995361,107.367287,118.325043,-506.609131,158.124146,72.933708,-768.105896,127.963531,84.847984,-640.664795,464.008789,661.710632,-612.725037,465.912933,550.092041,-595.562988,502.328278,360.199921,-594.023499,492.288239,127.244339,-515.743591,453.770325,74.711533,-778.608826,465.097198,83.619217
15,0,-611.451843,242.254333,528.372681,-632.565308,341.938293,533.122742,-597.895264,198.265259,137.753906,-603.431824,401.721161,134.339218,-738.287842,163.179428,1063.107788,-739.886169,422.023682,1060.994995,-540.199890,242.262604,1067.490479,-541.325562,340.570984,1067.462769,-656.077393,109.874092,696.357849,-604.839294,115.620605,549.447693,-577.253601,89.649269,372.263275,-580.997009,107.366722,118.297729,-506.610168,158.129715,72.933395,-768.110474,127.953682,84.844795,-640.675476,463.995178,661.702698,-612.735657,465.902405,550.082886,-595.580994,502.338043,360.205719,-594.024963,492.277344,127.236816,-515.730225,453.756683,74.709282,-778.620178,465.090088,83.619804
16,0,-611.443848,242.263138,528.374329,-632.560120,341.932922,533.117126,-597.925781,198.246231,137.760162,-603.419983,401.718872,134.342438,-738.171143,163.137695,1063.126953,-739.820679,421.983307,1060.988647,-540.128601,242.274368,1067.478027,-541.249390,340.589447,1067.460083,-656.014893,109.869385,696.349792,-604.796326,115.609383,549.433533,-577.240662,89.656265,372.236664,-581.014893,107.370789,118.299202,-506.612000,158.122147,72.924866,-768.112488,127.965363,84.841919,-640.666382,463.982483,661.711548,-612.768982,465.896820,550.092163,-595.595398,502.313385,360.203064,-594.034973,492.284698,127.243790,-515.730347,453.763458,74.718330,-778.626892,465.093170,83.607018
17,0,-611.444946,242.232849,528.395874,-632.527649,341.902679,533.134766,-597.885010,198.273849,137.781708,-603.431824,401.709778,134.347092,-738.018127,163.088272,1063.132812,-739.765076,421.908447,1061.027344,-539.995789,242.292023,1067.510986,-541.163208,340.600861,1067.478394,-655.919006,109.846344,696.342896,-604.750854,115.604935,549.433533,-577.215698,89.632545,372.247498,-581.008301,107.359566,118.299271,-506.607178,158.105316,72.942978,-768.111694,127.956078,84.855202,-640.696777,463.967224,661.719604,-612.766602,465.894836,550.106445,-595.610291,502.296875,360.223480,-594.031250,492.265167,127.252045,-515.733398,453.760986,74.723679,-778.627686,465.082367,83.629295
18,0,-611.416260,242.203339,528.402405,-632.504639,341.886993,533.131409,-597.907532,198.235031,137.776413,-603.457031,401.738983,134.345123,-737.866028,163.054001,1063.117920,-739.660156,421.822449,1061.015625,-539.882874,242.314194,1067.532104,-541.084595,340.622528,1067.486816,-655.787964,109.807724,696.377197,-604.691895,115.578819,549.432129,-577.175903,89.627930,372.237305,-581.008606,107.372368,118.281143,-506.602356,158.112411,72.942322,-768.109314,127.957138,84.858070,-640.651245,463.947418,661.727966,-612.739868,465.882050,550.112122,-595.598633,502.303009,360.227936,-594.028442,492.284576,127.267242,-515.730713,453.760040,74.723335,-778.620544,465.082855,83.621353
19,0,-611.358215,242.194794,528.379089,-632.452332,341.883728,533.113708,-597.921631,198.238113,137.781631,-603.412720,401.703888,134.363800,-737.721008,163.027115,1063.135742,-739.563721,421.770416,1061.008789,-539.767029,242.321869,1067.557739,-540.982666,340.616943,1067.512939,-655.692322,109.780708,696.378357,-604.610535,115.546982,549.423706,-577.139526,89.636429,372.232635,-581.000305,107.358208,118.293495,-506.596741,158.109848,72.918015,-768.107849,127.952110,84.853722,-640.617188,463.928772,661.725647,-612.711487,465.863647,550.087952,-595.581787,502.297333,360.202240,-594.015503,492.275208,127.258148,-515.732117,453.770844,74.722534,-778.621704,465.087921,83.626068
