,0,1,2
0,1719933069435912400,38.83780133621658,outward
1,1719933069926098300,41.43473979249577,outward
2,1719933071356500900,44.82067593535774,outward
3,1719933072826394400,50.436890539850104,outward
4,1719933074276643100,42.2366621507745,outward
5,1719933075716722000,56.15011171301226,outward
6,1719933084557203600,-22.156710265569835,inward
7,1719933085988034500,-30.549749479972675,inward
8,1719933087456962200,-15.182996392833697,inward
9,1719933088897333400,-29.87023067015125,inward
10,1719933090348082400,-28.82861348327198,inward
11,1719933091777466000,-28.675086718842064,inward
