,0,1,2
0,1718176900673924300,28.218053695066956,outward
1,1718176901159539300,30.385424999965995,outward
2,1718176902538892300,34.63239104806451,outward
3,1718176903939268200,34.42608202241062,outward
4,1718176905339447800,36.56581442721438,outward
5,1718176906709312300,35.915154199348926,outward
6,1718176918898951400,-8.324226033834146,inward
7,1718176920259139900,-19.813942840034116,inward
8,1718176921569528900,-26.638934571259963,inward
9,1718176922899208600,-36.18512876990066,inward
10,1718176924258925100,-32.13643413205556,inward
11,1718176925610607800,-24.462858317123068,inward
