,0,1,2
0,1717753653897083000,35.49550875418944,outward
1,1717753654397409200,37.647349940134774,outward
2,1717753655837591300,41.76022759990024,outward
3,1717753657257840500,42.054517302644065,outward
4,1717753658707989200,46.632738387654896,outward
5,1717753660127241100,46.40952915582789,outward
6,1717753669960345600,-14.007108524574248,inward
7,1717753671337737900,-9.337467114954416,inward
8,1717753672717122700,-19.87545314846834,inward
9,1717753674127405200,-5.14396189028988,inward
10,1717753675577553800,-5.65520706691626,inward
11,1717753676999795900,-6.947211626418398,inward
