,0,1,2
0,1718702432651894700,44.744877343465696,outward
1,1718702433212653100,45.754848170362656,outward
2,1718702434402108900,47.94855234008395,outward
3,1718702435612169300,51.93858351713675,outward
4,1718702436851992100,32.89765556328898,outward
5,1718702438072172600,42.25690160153869,outward
6,1718702447723016300,-37.856186498225696,inward
7,1718702448952510300,-26.692843885633486,inward
8,1718702450152216500,-40.451757203456914,inward
9,1718702451392330400,-26.840880133516634,inward
10,1718702452653134400,-38.49330880922055,inward
11,1718702453842168200,-37.868840759749155,inward
