,time (ns),deg test,FPA manual (deg),FPA prop (deg),absolute error (deg),RHEE manual x-,RHEE manual y-,RHEE proprio x-,RHEE proprio y-,RTOE manual x-,RTOE manual y-,RTOE proprio x-,RTOE proprio y-
0,1719406693357119900,-5,-7.272940502917288,-9.19988010573137,1.9269396028140822,106.25265514216822,307.12210033976044,106.33208436326923,306.80722210763565,-130.3101461134682,276.93125638866115,-129.42684924709135,268.62311330497477
1,1719406706828992900,10,6.816090969057131,7.697685273571563,0.8815943045144312,105.58511902738567,308.010253764841,105.48767107724836,308.39655087104234,-131.64730470032367,336.366081671194,-131.07144314286614,340.37086643200894
2,1719406719370909500,-10,-12.962826336378752,-14.112344278087274,1.1495179417085222,106.75938019956436,306.73104617155474,106.85825856801168,306.21153377554265,-125.69706353774579,253.22308075779162,-124.40853652084928,248.0683574279327
3,1719406733157063700,-15,-16.698436722231428,-18.7326057041458,2.034168981914373,106.93932084513132,305.81167499536565,107.07726249514933,305.7568975978753,-121.26902923604304,237.3526757329173,-118.3376951479906,229.31514107306452
4,1719406746289448700,5,2.318959018324878,0.3177737747132315,2.0011852436116464,105.6173251196771,307.54493209584984,105.54818164866585,307.62218089442393,-132.87969260344127,317.2030082221245,-132.9226668834466,308.94480115291617
5,1719406759671194200,15,12.336092712787009,10.271260965665817,2.0648317471211914,105.52376356817457,309.3119089587763,105.29104926390043,308.4420197755545,-128.10455366336694,360.40530861298845,-129.52684265159027,350.99400184065496
6,1719406774169397900,15,12.048872552787644,10.67973370766694,1.3691388451207036,105.40933601156675,309.10802845000535,105.30975228933859,308.5909865886414,-128.27510847858218,358.98756387862267,-129.35405092880956,352.84521102921747
7,1719406787148938400,-15,-16.66271189425508,-16.199707744537676,0.46300414971740267,106.81829746156205,305.7675741579361,106.77841750577677,306.3380880595646,-121.45141631454429,237.44527589643067,-122.06766651721924,239.8534204209608
8,1719406801389032300,10,7.026357147654212,4.322119596885463,2.7042375507687497,105.52382104956855,307.90858061423495,105.41422265866913,307.5508894008386,-131.8005281181858,337.15917250582646,-132.79824478462552,325.55466167477306
9,1719406813012890000,-5,-7.356294420806159,-6.320079214127208,1.0362152066789507,106.26196670193339,307.36072075154954,106.24544276693459,307.64986672555256,-130.74636494167444,276.7625358133773,-131.58282180385206,281.3090162116713
10,1719406824605614600,5,1.9191293119547503,0.09981138000517055,1.8193179319495798,105.45185131683226,307.77740670087326,105.43382959677395,307.5551735197409,-133.0668676963881,315.7696101759557,-133.3075323527219,307.9710702770188
11,1719406835946786000,-10,-11.923991087657472,-12.154317006093452,0.23032591843598027,106.59956625229246,306.8660068697456,106.59489107165307,306.96622907045537,-126.92991462881912,257.5514907606708,-126.90708445099735,256.67615983082607
12,1719406849934820300,10,8.073534643885178,8.101150489743372,0.02761584585819321,105.43497604652983,308.26073390622247,105.29504796197135,308.2369412535172,-131.20571935963383,341.82817939089006,-131.27112279488162,341.910139590719
13,1719406863805577800,-5,-6.828694671851317,-6.239930917637991,0.5887637542133266,106.10971247929385,307.2482011779257,106.26204460954426,308.0372014757352,-130.66797949285157,278.89389531487393,-131.31023548389618,282.0610558232932
14,1719406877992863700,15,11.638541504780012,14.330062260378932,2.691520755598921,105.36033747475378,309.03049490510364,105.16263030193011,308.99030692092117,-128.80649696442995,357.26222118053767,-126.24967406987084,368.10588848511395
15,1719406891388638200,-15,-16.33389102756644,-20.529173327683022,4.195282300116581,106.71538105338887,306.27003896670794,106.28967540310784,306.9992694490453,-121.4664006706897,239.39847788046416,-116.13639271893025,223.70846126726116
16,1719406905485249900,5,3.1780548569922855,1.6927502369915293,1.4853046200007562,105.39502771841248,307.34480930876845,105.26489628699383,307.57728938690764,-132.7622903199295,320.5683695499831,-132.92012137208442,314.61629116334973
17,1719406919210803000,-10,-11.833471630850683,-11.171919513572925,0.6615521172777576,106.52561780947457,306.6001391485263,106.33009358326797,306.7385278135589,-126.85829954225842,257.7013901942052,-127.76707172260515,260.50525774992786
