,0,1,2
0,1719488987901602300,31.391849445297083,outward
1,1719488988453947500,33.128263644582255,outward
2,1719488989813926000,54.347526171031085,outward
3,1719488991236051500,44.024587411716695,outward
4,1719488992654723400,38.64979759770116,outward
5,1719488994074735700,40.81151820810276,outward
6,1719489005033364200,-18.790260305451596,inward
7,1719489006373890900,-8.901831318832617,inward
8,1719489007753355700,-23.349776897329654,inward
9,1719489009113576100,-11.605592574088195,inward
10,1719489010423535800,-34.47069796698437,inward
11,1719489011864642800,-15.406792476036571,inward
