,time (ns),deg test,FPA manual (deg),FPA prop (deg),absolute error (deg),RHEE manual x-,RHEE manual y-,RHEE proprio x-,RHEE proprio y-,RTOE manual x-,RTOE manual y-,RTOE proprio x-,RTOE proprio y-
0,1718715016471330300,-5,-9.673985433478475,-14.42569975448646,4.751714321007986,128.1968574971839,295.762595755802,128.7983105581691,298.014651141459,-98.88549047449627,257.0528078946772,-94.90727500558812,240.4698498402072
1,1718715031395222900,10,5.411082067448304,4.1151017769315645,1.2959802905167397,128.10740303567613,295.68884318314724,128.02753538544508,295.400562360494,-101.62281176552878,317.44957409463854,-102.13822252772486,311.9600280057132
2,1718715046154440500,-10,-15.694102250294911,-16.414995995515223,0.7208937452203124,129.18764614531224,296.6420987806436,128.95758336487614,297.6433174510206,-90.03184044294053,235.0466277035986,-92.62469723338974,232.3650826940758
3,1718715063362805700,-15,-18.856446669664123,-19.662022550843307,0.805575881179184,129.14193902477427,296.4649199874385,128.72314317294254,298.1579774213737,-89.2047190050522,221.89353357799473,-88.24298495861893,220.63506696662287
4,1718715079439024800,5,0.2948721197100258,-1.3503074790153724,1.6451795987253983,128.25438241819285,295.3684477244464,128.2268586040566,295.1778674079861,-102.24962206476602,296.5547446048269,-102.21138298455637,289.7460519244307
5,1718715094287251600,15,10.386330263430237,7.127695555538138,3.2586347078920985,128.1513045124617,295.6681850565466,128.00536339326754,295.17367348570923,-98.90553263550746,337.2849188789115,-100.96596827707276,323.8059642269535
6,1718715109876902700,15,10.38858941442015,4.3613475566285205,6.027241857791629,128.13642259080564,295.7681603892731,127.99339337849037,295.3385423726412,-98.92594077165545,337.3951609193254,-102.03632386664138,312.8822728873828
7,1718715124920245700,-15,-18.76274063201505,-19.320162949164327,0.5574223171492783,129.24527389029717,296.1452375280889,129.29418213126112,297.790935909653,-89.3575616185551,221.88535881669236,-88.10182160060702,221.57404158173156
8,1718715139436699100,10,5.102581333884481,3.422046234767898,1.6805350991165828,128.31703008169723,295.54493262422136,128.33676092692633,295.3794266824587,-101.26820869240932,316.0452951962017,-101.67433697308337,309.1334217952307
9,1718715152576455200,-5,-9.869317725976197,-8.520219136739188,1.349098589237009,128.50859241185384,295.3866386875008,128.43529005365176,295.6189968542895,-98.17893473943866,255.94841043468742,-99.11787724518032,261.5288488761554
10,1718715166243860600,5,-0.1454201437355084,-2.975390684173709,2.8299705404382007,128.29148672261954,295.4201904105278,128.22390337668276,295.19859362049567,-102.07511216908978,294.8355048343767,-101.81605049790934,283.2417849295906
11,1718715179499800100,-10,-14.652120145271715,-12.679838973369348,1.9722811719023667,129.13845902468918,296.63314286097705,129.16662371574273,297.5788032778128,-94.52926611120321,238.15474440603597,-96.10249925344084,246.8954998634174
12,1718715194389460600,10,5.026798952088775,1.5548998787419788,3.4718990733467967,128.17220956506029,295.49664806890047,128.25987452143477,295.51232841302436,-101.48785029869556,315.6975453101767,-102.07108653115661,301.76461319663713
13,1718715207983750800,-5,-9.575696587035237,-9.148401471453488,0.4272951155817495,128.3648348964933,295.62377057517926,128.25853068909697,295.83064300928817,-98.48486837908894,257.3539847404969,-98.74249209716311,259.2742611127978
14,1718715223121024800,15,9.934574788089371,8.24257221511007,1.6920025729793018,128.100711118407,295.96688230646424,128.11964059754266,295.63562750110435,-99.15982933510593,335.77152716400144,-100.10754123323754,328.6967853260533
15,1718715239639445500,-15,-18.172474397296828,-17.353356789943287,0.8191176073535402,129.13164654983518,296.7321668144395,128.90181992199794,297.78644914189823,-90.24358524811838,224.7220252189859,-91.14705109334284,229.0239923347892
16,1718715254290935600,5,-0.35114645936883737,-1.8301447014163685,1.4789982420475312,128.3054955154079,295.45718358502836,128.228067058199,295.46623712429624,-101.98725630741006,294.0457795063143,-101.94759483134006,288.11145291387805
17,1718715268318046200,-10,-14.377949242679675,-13.34157945624118,1.0363697864384953,128.94268531234042,296.53145580671736,129.2093843674409,297.691538659972,-94.84170948674868,239.16518301924586,-95.504089019219,244.3993080991119
