Trajectories
100
,,s02:LKNM,,,s02:RKNM,,,s02:LMED,,,s02:RMED,,,s02:LASI,,,s02:RASI,,,s02:LPSI,,,s02:RPSI,,,s02:LTHI,,,s02:LKNE,,,s02:LTIB,,,s02:LANK,,,s02:LHEE,,,s02:LTOE,,,s02:RTHI,,,s02:RKNE,,,s02:RTIB,,,s02:RANK,,,s02:RHEE,,,s02:RTOE,,,s02:RKNEM,,,s02:LKNEM,,,s02:LANKM,,,s02:RANKM,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
10,0,-471.292999,259.337097,482.111450,-467.021088,383.580353,474.107239,-436.363129,195.907364,100.373100,-412.215240,441.426331,102.838272,-556.190796,190.378571,1017.142517,-547.485474,433.104584,1013.765198,-376.673981,253.125610,1072.862305,-368.305084,349.079559,1075.457764,-487.738312,141.481979,703.937683,-480.544830,157.454620,514.380798,-441.172363,120.544373,325.037842,-414.386047,116.774445,102.052635,-355.625122,148.348785,51.445839,-598.172791,144.413971,47.532200,-457.357391,504.592285,779.703552,-464.818085,485.484619,509.462524,-411.598938,519.318665,358.869781,-393.322510,520.792175,99.467125,-334.453064,482.091400,52.910252,-579.051086,505.494110,48.281784,,,,,,,,,,,,
11,0,-471.296967,259.340668,482.104218,-467.041016,383.552795,474.132965,-436.370911,195.902100,100.362404,-412.221771,441.422028,102.835320,-556.222778,190.381149,1017.116455,-547.483826,433.125092,1013.746033,-376.700073,253.116394,1072.854248,-368.319702,349.064667,1075.466919,-487.751312,141.478027,703.936829,-480.551514,157.491653,514.365723,-441.174988,120.543839,325.051208,-414.415527,116.779938,102.027267,-355.610382,148.339722,51.453945,-598.173096,144.420990,47.511703,-457.361206,504.612518,779.703308,-464.794617,485.473907,509.451691,-411.572815,519.310608,358.854797,-393.327972,520.808044,99.467178,-334.442444,482.083130,52.907364,-579.048645,505.490356,48.262787,,,,,,,,,,,,
12,0,-471.313324,259.325897,482.106750,-467.032043,383.562622,474.121155,-436.368683,195.904404,100.369469,-412.212616,441.426086,102.825859,-556.240479,190.404449,1017.103882,-547.489197,433.130707,1013.747314,-376.713287,253.108765,1072.863892,-368.302948,349.056122,1075.475586,-487.757233,141.486847,703.931824,-480.551025,157.482376,514.378723,-441.177917,120.532219,325.052795,-414.408508,116.785561,102.028503,-355.609131,148.334778,51.460640,-598.184814,144.405685,47.519543,-457.330719,504.603271,779.718994,-464.753906,485.473328,509.469971,-411.555603,519.302124,358.870575,-393.317657,520.799194,99.466400,-334.436035,482.081757,52.916073,-579.053894,505.498047,48.294727,,,,,,,,,,,,
13,0,-471.328857,259.366364,482.121582,-467.002991,383.270111,473.891998,-436.355652,195.902252,100.366783,-412.211823,441.412018,102.834450,-556.252380,190.425644,1017.109619,-547.470032,433.139160,1013.742676,-376.717407,253.098190,1072.861084,-368.304047,349.048798,1075.457886,-487.770142,141.498123,703.927063,-480.559479,157.443344,514.399719,-441.190094,120.542282,325.048370,-414.400879,116.788460,102.023308,-355.609650,148.337112,51.447468,-598.157227,144.410583,47.527405,-457.304626,504.619720,779.697021,-464.739014,485.496368,509.473328,-411.526794,519.287537,358.873016,-393.314301,520.803284,99.468491,-334.428436,482.083435,52.905895,-579.040833,505.492035,48.277210,,,,,,,,,,,,
14,0,-471.343201,259.346527,482.119324,-467.022766,383.536987,474.094788,-436.376709,195.909805,100.354820,-412.218964,441.428711,102.834518,-556.258240,190.449036,1017.112366,-547.450867,433.149353,1013.750061,-376.720490,253.104263,1072.864380,-368.301544,349.066833,1075.451294,-487.795227,141.529541,703.926819,-480.592712,157.488770,514.379822,-441.204376,120.570038,325.039917,-414.412506,116.798439,102.019730,-355.594666,148.350128,51.446552,-598.158081,144.412872,47.533566,-457.277405,504.595154,779.700256,-464.792053,485.574463,509.480225,-411.514832,519.300842,358.879883,-393.313263,520.793945,99.472389,-334.421631,482.076050,52.908550,-579.041626,505.488281,48.285069,,,,,,,,,,,,
15,0,-471.360809,259.369171,482.114197,-467.040588,383.274658,473.887238,-436.360535,195.890213,100.348213,-412.222107,441.410217,102.835434,-556.244995,190.462601,1017.111633,-547.436218,433.174744,1013.748169,-376.714081,253.109512,1072.868408,-368.268707,349.062073,1075.454712,-487.815674,141.534424,703.927307,-480.608978,157.488586,514.388977,-441.208344,120.556992,325.047211,-414.400085,116.783424,102.015656,-355.608521,148.335693,51.464886,-598.162964,144.416473,47.530960,-457.293671,504.590271,779.696716,-464.781342,485.558075,509.481781,-411.538208,519.294861,358.861603,-393.318939,520.797058,99.477478,-334.428436,482.086823,52.910686,-579.044373,505.501862,48.273922,,,,,,,,,,,,
16,0,-471.401825,259.394989,482.110596,-467.082947,383.257690,473.927094,-436.378021,195.909027,100.355484,-412.218506,441.424255,102.844604,-556.243103,190.496948,1017.126465,-547.413208,433.182098,1013.751892,-376.690552,253.115738,1072.868286,-368.260193,349.070770,1075.460449,-487.835785,141.558578,703.930969,-480.643127,157.508362,514.394470,-441.241882,120.548889,325.060608,-414.421021,116.797592,102.026535,-355.606445,148.342590,51.468037,-598.156067,144.421875,47.536652,-457.298737,504.585815,779.687256,-464.833466,485.631958,509.496399,-411.587280,519.323364,358.857666,-393.322388,520.809326,99.462852,-334.424347,482.093903,52.921135,-579.047729,505.504181,48.277473,,,,,,,,,,,,
17,0,-471.436157,259.392426,482.092896,-467.079041,383.293762,473.921265,-436.372742,195.919418,100.358879,-412.224854,441.422974,102.823410,-556.229187,190.508041,1017.119507,-547.398193,433.192413,1013.760559,-376.676056,253.131302,1072.863647,-368.241699,349.095032,1075.453491,-487.843903,141.563583,703.931274,-480.659973,157.527359,514.380859,-441.259064,120.573929,325.028046,-414.409729,116.806564,102.009300,-355.587952,148.327728,51.476715,-598.165833,144.431076,47.505455,-457.321625,504.596832,779.694641,-464.880005,485.660950,509.482574,-411.606720,519.324829,358.854828,-393.327942,520.814026,99.462845,-334.440247,482.092072,52.905510,-579.057434,505.509857,48.267891,,,,,,,,,,,,
18,0,-471.425110,259.410797,482.105743,-467.134308,383.611694,474.110413,-436.372742,195.921432,100.347694,-412.222717,441.442902,102.833466,-556.211121,190.516663,1017.143250,-547.388672,433.208405,1013.771423,-376.672119,253.141190,1072.850708,-368.243286,349.106079,1075.428955,-487.849579,141.557388,703.949219,-480.688324,157.549469,514.388977,-441.264648,120.587440,325.030365,-414.409393,116.811256,102.022095,-355.617279,148.333817,51.466778,-598.169556,144.434372,47.509384,-457.324097,504.631409,779.692017,-464.946014,485.700775,509.467529,-411.625580,519.345520,358.856476,-393.309052,520.809143,99.459335,-334.427277,482.093292,52.912254,-579.048889,505.505035,48.285484,,,,,,,,,,,,
19,0,-471.446350,259.381653,482.094635,-467.182770,383.631989,474.076538,-436.376678,195.925232,100.359756,-412.239716,441.447998,102.823380,-556.198059,190.547623,1017.127747,-547.403381,433.225311,1013.765320,-376.640320,253.158417,1072.845703,-368.218262,349.110840,1075.431030,-487.856445,141.586533,703.927124,-480.675720,157.554962,514.376953,-441.271423,120.601280,325.017090,-414.430878,116.818535,102.025887,-355.611328,148.368622,51.458946,-598.160278,144.430450,47.510841,-457.348999,504.646240,779.694885,-464.935852,485.663391,509.478577,-411.668732,519.361877,358.851746,-393.338654,520.803528,99.458626,-334.418304,482.097260,52.923386,-579.054871,505.498779,48.277302,,,,,,,,,,,,
