Trajectories
100
,,s02:LKNM,,,s02:RKNM,,,s02:LMED,,,s02:RMED,,,s02:LASI,,,s02:RASI,,,s02:LPSI,,,s02:RPSI,,,s02:LTHI,,,s02:LKNE,,,s02:LTIB,,,s02:LANK,,,s02:LHEE,,,s02:LTOE,,,s02:RTHI,,,s02:RKNE,,,s02:RTIB,,,s02:RANK,,,s02:RHEE,,,s02:RTOE,,,s02:RKNEM,,,s02:LKNEM,,,s02:LANKM,,,s02:RANKM,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
30,0,-471.302429,259.508911,482.073517,-466.882538,383.441254,473.922211,-436.347656,195.933289,100.370255,-412.212769,441.470032,102.848373,-556.343018,190.719238,1017.010437,-547.349304,433.426666,1013.758789,-376.753113,253.298904,1072.897827,-368.290894,349.265594,1075.557129,-487.779572,141.751923,703.933228,-480.572876,157.665726,514.385864,-441.204742,120.670982,325.049286,-414.402863,116.814171,102.035416,-355.592072,148.357269,51.454937,-598.152405,144.419754,47.551208,-457.178101,504.876923,779.731873,-464.819092,485.872528,509.506104,-411.527191,519.497559,358.866760,-393.307312,520.830322,99.452835,-334.417267,482.104034,52.909256,-579.031921,505.496368,48.292225,,,,,,,,,,,,
31,0,-471.313538,259.558167,482.064636,-466.917877,383.476898,473.931091,-436.360413,195.914993,100.354614,-412.197174,441.460266,102.848335,-556.341003,190.769638,1017.013916,-547.339111,433.483124,1013.753906,-376.770813,253.298187,1072.893066,-368.278748,349.273132,1075.551147,-487.824158,141.783661,703.932251,-479.809235,155.611694,515.603577,-441.236511,120.678543,325.067932,-414.407806,116.823914,102.032135,-355.590881,148.353210,51.461845,-598.161072,144.438370,47.521503,-457.172424,504.914642,779.742920,-464.820374,485.898499,509.516296,-411.537903,519.494995,358.852356,-393.303802,520.832092,99.458130,-334.416901,482.115448,52.912655,-579.024475,505.500427,48.299252,,,,,,,,,,,,
32,0,-471.346191,259.545288,482.074219,-466.905304,383.502258,473.957825,-436.351990,195.920670,100.341843,-412.219635,441.463745,102.841209,-556.382019,190.799149,1017.013550,-547.319153,433.499115,1013.765686,-376.768219,253.290802,1072.880737,-368.276337,349.243256,1075.533936,-487.859192,141.795044,703.924744,-479.836029,155.627762,515.596741,-441.238037,120.680435,325.055359,-414.417603,116.840530,102.022034,-355.602783,148.329407,51.480556,-598.163940,144.423019,47.529133,-457.153625,504.926971,779.740540,-464.775635,485.869629,509.512177,-411.525116,519.507446,358.856323,-393.307556,520.845215,99.457458,-334.423157,482.095215,52.904812,-579.041992,505.497620,48.284584,,,,,,,,,,,,
33,0,-471.361206,259.579926,482.054169,-466.929565,383.501190,473.936584,-436.375244,195.939056,100.353935,-412.209412,441.476868,102.837654,-556.415527,190.836945,1017.031311,-547.304138,433.558533,1013.779541,-376.778076,253.286240,1072.863647,-368.277649,349.237457,1075.512573,-487.911011,141.824722,703.915161,-479.830139,155.620499,515.615784,-441.272339,120.701622,325.050598,-414.411499,116.829430,102.023277,-355.612457,148.341034,51.456242,-598.150818,144.431366,47.523380,-457.138824,504.956604,779.742981,-464.787048,485.936005,509.525177,-411.511841,519.513000,358.866638,-393.295929,520.843140,99.459785,-334.419891,482.108124,52.900402,-579.032349,505.505798,48.288368,,,,,,,,,,,,
34,0,-471.350281,259.564087,482.034760,-466.971069,383.518921,473.912109,-436.359985,195.936401,100.345581,-412.189697,441.463501,102.856491,-556.412354,190.868423,1017.016541,-547.295898,433.583527,1013.777161,-376.794037,253.296875,1072.854980,-368.277069,349.240814,1075.491943,-487.938629,141.819702,703.913452,-479.877228,155.658249,515.590515,-441.266785,120.692535,325.040863,-414.411224,116.828201,102.037216,-355.607513,148.329590,51.468307,-598.149902,144.432953,47.524265,-457.120361,504.977570,779.739990,-464.721039,485.861938,509.519623,-411.490814,519.505005,358.863129,-393.302795,520.834656,99.460579,-334.426056,482.093536,52.910805,-579.038208,505.494354,48.287312,,,,,,,,,,,,
35,0,-471.367188,259.602478,482.038422,-467.012939,383.558502,473.904785,-436.379822,195.932693,100.339371,-412.230103,441.477112,102.839943,-556.443970,190.918381,1017.034912,-547.329895,433.639679,1013.772339,-376.815521,253.313568,1072.834961,-368.304932,349.252411,1075.461670,-487.966614,141.845245,703.908691,-479.871033,155.634872,515.603882,-441.289154,120.706696,325.045868,-414.421906,116.829445,102.021187,-355.590973,148.327286,51.471306,-598.164734,144.423737,47.519257,-457.114502,505.023468,779.725403,-464.738007,485.897491,509.507904,-411.489807,519.515564,358.865234,-393.304596,520.829163,99.449875,-334.426025,482.101013,52.918007,-579.046509,505.489410,48.288822,,,,,,,,,,,,
36,0,-471.391785,259.617706,482.022461,-467.039032,383.823822,474.113861,-436.373993,195.944824,100.341782,-412.208221,441.473358,102.844765,-556.466064,190.933655,1017.026672,-547.306030,433.667084,1013.761536,-376.834839,253.320908,1072.823486,-368.304199,349.269562,1075.445923,-487.988678,141.851379,703.897522,-479.863342,155.599213,515.616699,-441.296143,120.715111,325.035858,-414.425934,116.819939,102.031784,-355.610718,148.346008,51.460678,-598.162903,144.428909,47.507595,-457.101990,505.023315,779.720398,-464.744720,485.952820,509.499847,-411.502930,519.527771,358.848389,-393.304382,520.841980,99.453575,-334.424164,482.098083,52.904827,-579.039368,505.479279,48.291168,,,,,,,,,,,,
37,0,-471.426941,259.620483,482.018158,-467.002014,383.824921,474.085632,-436.368866,195.951065,100.350319,-412.207855,441.467712,102.840385,-556.501160,190.959702,1017.028320,-547.345398,433.716583,1013.763916,-376.856995,253.352249,1072.816528,-368.321045,349.295837,1075.449219,-487.988098,141.885574,703.901428,-479.835083,155.546692,515.658142,-441.301300,120.727562,325.046967,-414.405090,116.825424,102.039429,-355.602600,148.335831,51.472458,-598.168396,144.431473,47.522465,-457.135803,505.034576,779.709351,-464.748993,485.979919,509.521667,-411.498993,519.509277,358.856964,-393.305939,520.825623,99.465851,-334.432617,482.096191,52.901890,-579.055542,505.504181,48.285774,,,,,,,,,,,,
38,0,-471.467957,259.653961,482.049927,-466.983887,383.561188,473.890411,-436.382233,195.951630,100.348061,-412.208313,441.477905,102.822487,-556.687256,190.884247,1016.824829,-547.356812,433.715424,1013.759399,-376.869568,253.351624,1072.818237,-368.334656,349.323273,1075.454590,-488.003265,141.911133,703.903198,-479.852722,155.538940,515.648865,-441.304077,120.739967,325.046875,-414.425690,116.828125,102.030281,-355.627167,148.350662,51.443913,-598.170654,144.415863,47.517262,-457.160583,505.043457,779.704346,-464.795502,486.011536,509.509979,-411.518860,519.540527,358.848328,-393.321259,520.837585,99.452896,-334.415344,482.079529,52.900074,-579.047485,505.495300,48.284958,,,,,,,,,,,,
39,0,-471.481445,259.659149,482.020111,-466.992950,383.836731,474.113831,-436.371185,195.946243,100.334869,-412.221039,441.470459,102.839935,-556.567200,190.992661,1017.010803,-547.402222,433.740082,1013.756653,-376.876587,253.400024,1072.828979,-368.348694,349.359619,1075.472534,-488.017578,141.928085,703.914673,-479.846283,155.532074,515.682190,-441.314178,120.767227,325.062195,-414.416382,116.834938,102.051041,-355.610535,148.340073,51.468945,-598.171936,144.437073,47.517357,-457.193115,505.042328,779.701904,-464.834534,486.015869,509.513489,-411.535004,519.531128,358.850647,-393.306610,520.845093,99.456337,-334.441284,482.089966,52.906483,-579.056641,505.499786,48.279007,,,,,,,,,,,,
40,0,-471.516663,259.667023,482.026764,-467.043976,383.849396,474.112946,-436.360748,195.951874,100.344788,-412.214355,441.474121,102.841537,-556.722046,190.927872,1016.845459,-547.395996,433.746155,1013.750061,-376.895813,253.435547,1072.839111,-368.361237,349.388794,1075.473877,-488.051697,141.966690,703.904602,-479.865906,155.515244,515.687195,-441.354553,120.771530,325.044708,-414.425293,116.840408,102.046989,-355.619324,148.356293,51.462345,-598.176270,144.418457,47.533882,-457.215576,505.092560,779.687500,-464.887909,486.025391,509.488342,-411.567047,519.532043,358.841064,-393.293610,520.844788,99.463219,-334.427979,482.096100,52.906631,-579.038330,505.486664,48.270584,,,,,,,,,,,,
41,0,-471.548767,259.670868,482.034180,-467.076996,383.843353,474.121552,-436.395020,195.939484,100.351021,-412.221191,441.476227,102.842133,-556.749084,190.960114,1016.851685,-547.451111,433.786743,1013.753784,-376.895020,253.484695,1072.842651,-368.378784,349.425964,1075.493774,-488.068726,141.985474,703.918396,-479.887238,155.506851,515.743652,-441.350861,120.780281,325.069702,-414.429474,116.849037,102.072556,-355.633087,148.355118,51.467453,-598.172058,144.430634,47.528164,-457.242950,505.085938,779.702332,-464.908173,486.039734,509.501984,-411.589325,519.536926,358.850433,-393.313019,520.829651,99.464027,-334.436371,482.106598,52.916584,-579.045044,505.490845,48.284275,,,,,,,,,,,,
42,0,-471.545227,259.699860,482.030029,-467.094635,383.875549,474.087860,-436.378937,195.966400,100.351456,-412.227539,441.476013,102.826508,-556.730164,190.965424,1016.844482,-547.448242,433.764313,1013.760437,-376.910889,253.508362,1072.840210,-368.384552,349.444733,1075.479370,-488.089508,142.002197,703.909607,-479.876038,155.456726,515.730286,-441.370453,120.790627,325.049286,-414.406921,116.834572,102.063881,-355.634857,148.356659,51.468498,-598.168823,144.428360,47.522392,-457.301147,505.117767,779.707275,-464.930969,486.021271,509.460754,-411.603027,519.548645,358.852264,-393.311188,520.831604,99.471436,-334.430115,482.096893,52.907825,-579.045044,505.494598,48.276573,,,,,,,,,,,,
43,0,-471.584564,259.720947,482.036377,-467.082855,383.636414,473.904327,-436.372406,195.953827,100.348793,-412.213104,441.471710,102.861656,-556.575256,191.066223,1017.018677,-547.471069,433.800812,1013.762207,-376.913910,253.543442,1072.837891,-368.412323,349.485229,1075.483154,-488.102325,142.015411,703.910278,-479.866425,155.444305,515.783020,-441.375153,120.807556,325.061157,-414.427582,116.856583,102.077309,-355.600891,148.354431,51.472168,-598.169128,144.431961,47.529198,-457.319275,505.154205,779.702942,-464.928101,486.078186,509.487976,-411.615906,519.578918,358.843658,-393.309601,520.853760,99.464447,-334.432861,482.099365,52.925507,-579.047058,505.485718,48.269108,,,,,,,,,,,,
44,0,-471.607361,259.739441,482.016754,-467.100037,383.896088,474.112366,-436.385468,195.969666,100.333092,-412.225098,441.477814,102.840401,-556.577148,191.084244,1017.005554,-547.487976,433.810883,1013.752319,-376.937927,253.549576,1072.826294,-368.430786,349.506165,1075.465698,-488.126862,142.036606,703.894470,-479.876923,155.392090,515.776672,-441.386414,120.802376,325.053711,-414.438171,116.868706,102.047005,-355.620300,148.358917,51.466599,-598.165222,144.431870,47.514996,-457.347870,505.215302,779.693115,-464.963013,486.138367,509.480835,-411.628998,519.591797,358.845551,-393.312683,520.860535,99.455673,-334.436920,482.101501,52.916676,-579.045227,505.499908,48.256088,,,,,,,,,,,,
45,0,-471.593994,259.750183,482.021271,-467.095795,383.634033,473.921661,-436.384705,195.985123,100.348785,-412.239136,441.490082,102.863747,-556.598938,191.098221,1017.028931,-547.495483,433.838104,1013.755188,-376.950745,253.590881,1072.803467,-368.451385,349.546448,1075.460327,-488.131775,142.048004,703.899414,-479.888885,155.411209,515.801208,-441.385895,120.825935,325.046692,-414.426239,116.854744,102.066933,-355.615723,148.356079,51.472366,-598.155396,144.439285,47.525921,-457.376221,505.251648,779.711792,-464.926422,486.095184,509.481659,-411.637573,519.591125,358.829956,-393.310486,520.856689,99.465889,-334.427582,482.105743,52.918388,-579.055969,505.487488,48.261589,,,,,,,,,,,,
46,0,-471.604309,259.744354,482.026245,-467.055573,383.617249,473.908081,-436.377258,195.978409,100.342422,-412.209076,441.489410,102.846230,-556.765076,191.032837,1016.844727,-547.510742,433.837524,1013.755920,-376.950409,253.602859,1072.791504,-368.468292,349.566376,1075.450806,-488.135345,142.058624,703.894958,-479.887451,155.424347,515.765320,-441.399139,120.826271,325.048706,-414.419708,116.863266,102.070900,-355.630737,148.358536,51.455833,-598.157410,144.420975,47.505993,-457.385956,505.275726,779.707520,-464.950012,486.130005,509.481720,-411.648956,519.633057,358.842987,-393.318268,520.861694,99.457253,-334.437805,482.108124,52.910286,-579.044495,505.483795,48.260033,,,,,,,,,,,,
47,0,-471.605286,259.763245,482.011353,-467.066193,383.893250,474.137085,-436.380493,195.977234,100.333191,-412.218597,441.487610,102.853600,-556.616943,191.128006,1017.013428,-547.527344,433.851776,1013.747559,-376.971130,253.640884,1072.790039,-368.481079,349.585938,1075.454590,-488.138824,142.084518,703.897888,-479.878784,155.407837,515.788818,-441.397369,120.834747,325.061157,-414.437012,116.864494,102.051270,-355.609344,148.369156,51.464828,-598.168213,144.423065,47.512775,-457.419006,505.314575,779.703735,-464.931030,486.162262,509.497894,-411.639679,519.634644,358.825165,-393.300903,520.865356,99.450607,-334.433136,482.103424,52.911213,-579.049438,505.495972,48.258450,,,,,,,,,,,,
48,0,-471.595856,259.782440,482.024048,-467.036652,383.888458,474.123291,-436.398560,195.981400,100.336723,-412.213989,441.489502,102.858147,-556.614746,191.150742,1016.981384,-547.516907,433.851135,1013.738892,-376.987610,253.655014,1072.788086,-368.488892,349.612976,1075.446289,-488.149231,142.096695,703.884583,-479.911804,155.473480,515.771729,-441.386078,120.839752,325.048981,-414.413300,116.859032,102.059608,-355.616150,148.355392,51.458931,-598.171936,144.430069,47.520584,-457.414124,505.322144,779.698547,-464.939392,486.211975,509.495209,-411.624847,519.638550,358.824249,-393.302246,520.865112,99.454010,-334.452454,482.098297,52.903275,-579.057434,505.491425,48.256725,,,,,,,,,,,,
49,0,-471.591858,259.789032,482.003815,-467.069763,383.900543,474.133728,-436.383209,195.973709,100.338806,-412.211609,441.492096,102.847237,-556.646179,191.169907,1016.998047,-547.522949,433.884460,1013.735657,-377.000397,253.674530,1072.799683,-368.508423,349.630859,1075.449097,-488.159058,142.102798,703.888062,-479.911835,155.443359,515.782288,-441.398865,120.839371,325.046997,-414.440521,116.879921,102.044365,-355.611328,148.358215,51.473785,-598.171265,144.435287,47.514877,-457.423248,505.331879,779.698975,-464.951599,486.211792,509.490479,-411.637085,519.641907,358.819702,-393.309723,520.854858,99.451462,-334.430359,482.101807,52.907246,-579.047791,505.487854,48.256634,,,,,,,,,,,,
50,0,-471.599518,259.793549,482.014679,-467.036438,383.918854,474.125732,-436.391144,195.976807,100.355865,-412.204346,441.498718,102.842155,-556.680054,191.199860,1016.990540,-547.561096,433.907440,1013.752441,-376.990326,253.684433,1072.805908,-368.514374,349.647797,1075.460938,-488.169128,142.116882,703.890930,-479.911102,155.490479,515.778381,-441.410553,120.863937,325.066376,-414.450714,116.875694,102.032585,-355.624603,148.352432,51.484955,-598.173340,144.422485,47.532043,-457.419647,505.331573,779.702759,-464.964630,486.208588,509.483643,-411.642059,519.643188,358.835144,-393.317383,520.854614,99.458031,-334.434845,482.097687,52.903553,-579.055725,505.481659,48.272690,,,,,,,,,,,,
51,0,-471.588715,259.794891,482.002502,-467.040802,383.926544,474.130188,-436.384918,195.975861,100.343765,-412.205688,441.486053,102.858376,-556.684448,191.226074,1016.996765,-547.544312,433.931335,1013.743896,-376.993805,253.701889,1072.814819,-368.512512,349.653015,1075.468384,-488.199615,142.157257,703.877441,-479.905579,155.473740,515.786316,-441.411438,120.873978,325.073151,-414.449951,116.878189,102.058952,-355.607361,148.348236,51.482510,-598.186523,144.425720,47.514236,-457.410461,505.350708,779.703430,-464.966644,486.167938,509.471527,-411.641235,519.647827,358.838135,-393.317657,520.856323,99.453476,-334.438049,482.103333,52.902554,-579.048157,505.483978,48.271652,,,,,,,,,,,,
52,0,-471.603760,259.807220,482.023102,-467.020264,383.627197,473.912750,-436.406586,195.989441,100.338211,-412.238068,441.495209,102.831215,-556.676575,191.258514,1017.014160,-547.565674,433.959381,1013.744812,-377.009674,253.707611,1072.820312,-368.538544,349.677399,1075.462036,-488.172882,142.150726,703.904541,-479.916534,155.466660,515.797974,-441.414368,120.880920,325.063385,-414.442810,116.892097,102.055710,-355.621094,148.362930,51.463406,-598.185669,144.432663,47.515999,-457.404694,505.344696,779.694824,-464.962402,486.190735,509.479767,-411.638153,519.644775,358.829895,-393.324646,520.853149,99.438911,-334.423981,482.099457,52.904503,-579.057312,505.498047,48.264175,,,,,,,,,,,,
53,0,-471.611359,259.821381,482.028015,-467.098450,383.974670,474.116241,-436.412048,195.976151,100.352005,-412.221771,441.487854,102.844566,-556.702820,191.269791,1017.023438,-547.547974,433.969238,1013.741943,-377.008850,253.720825,1072.825073,-368.525269,349.675262,1075.477173,-488.152191,142.172241,703.886353,-479.906006,155.494324,515.814636,-441.397827,120.883339,325.076294,-414.442322,116.897934,102.061195,-355.621460,148.362442,51.485901,-598.169434,144.434296,47.519936,-457.418640,505.331573,779.705261,-464.974976,486.243683,509.493103,-411.638519,519.634949,358.823486,-393.318604,520.848938,99.443443,-334.438141,482.102234,52.904182,-579.062805,505.486420,48.269512,,,,,,,,,,,,
54,0,-471.595490,259.813446,482.043671,-467.077881,383.978699,474.128052,-436.380737,195.998077,100.375603,-412.197327,441.469849,102.860191,-556.688354,191.287415,1017.031189,-547.560913,433.977936,1013.753418,-377.003906,253.725174,1072.849365,-368.535248,349.697083,1075.476562,-488.167786,142.181870,703.898804,-479.888916,155.472168,515.824280,-441.409424,120.875809,325.077606,-414.443329,116.895943,102.057037,-355.589996,148.346100,51.487366,-598.189026,144.440613,47.531929,-457.381561,505.332520,779.707520,-464.939423,486.244812,509.501984,-411.627380,519.638794,358.839996,-393.313965,520.851868,99.465843,-334.423676,482.101349,52.912506,-579.048218,505.499908,48.282455,,,,,,,,,,,,
55,0,-471.575806,259.822235,482.005035,-467.056763,383.968262,474.118896,-436.400848,195.980057,100.345932,-412.190186,441.481628,102.845558,-556.666199,191.305725,1017.024780,-547.554443,433.977112,1013.742310,-377.018311,253.761703,1072.836914,-368.537445,349.701324,1075.472412,-488.160645,142.192963,703.890076,-479.865265,155.468460,515.799072,-441.384827,120.890160,325.081909,-414.441742,116.879593,102.072433,-355.623260,148.367249,51.465839,-598.179016,144.436203,47.531868,-457.380310,505.323456,779.688599,-464.888977,486.159454,509.471527,-411.629211,519.657532,358.822021,-393.321075,520.860718,99.444572,-334.427338,482.103088,52.902279,-579.052307,505.506409,48.263474,,,,,,,,,,,,
56,0,-471.540802,259.831726,482.014984,-466.965912,383.667297,473.933563,-436.402985,195.991058,100.343231,-412.238251,441.488861,102.836830,-556.667480,191.299271,1017.026428,-547.558472,433.996216,1013.724182,-376.995300,253.752380,1072.836060,-368.525665,349.712250,1075.486084,-488.148499,142.191895,703.901489,-479.834839,155.467331,515.814392,-441.388641,120.889259,325.087128,-414.444305,116.887863,102.070564,-355.602112,148.371063,51.478260,-598.189392,144.438309,47.507359,-457.407227,505.343384,779.671997,-464.888306,486.207550,509.477905,-411.607086,519.652893,358.821228,-393.323883,520.846008,99.437782,-334.420288,482.108673,52.916920,-579.044128,505.500488,48.260479,,,,,,,,,,,,
57,0,-471.518433,259.838501,482.004333,-466.983765,383.659576,473.933929,-436.393616,195.991318,100.342888,-412.229431,441.481171,102.843231,-556.831360,191.199432,1016.829834,-547.524658,433.959778,1013.719666,-376.999207,253.758759,1072.836670,-368.524536,349.729370,1075.483643,-488.129211,142.187027,703.893494,-479.822357,155.481415,515.817627,-441.384521,120.881493,325.082062,-414.427612,116.889023,102.054977,-355.615997,148.350571,51.484055,-598.171875,144.432297,47.513657,-457.416046,505.352661,779.679810,-464.956970,486.264587,509.455933,-411.633850,519.662109,358.832794,-393.309540,520.850830,99.448563,-334.433563,482.101990,52.892029,-579.047119,505.493774,48.268795,,,,,,,,,,,,
58,0,-471.491241,259.831512,481.993561,-466.994141,383.670776,473.936096,-436.400726,195.988632,100.347153,-412.223724,441.484711,102.862175,-556.654602,191.280716,1016.987793,-547.540955,433.956390,1013.719299,-376.987366,253.763855,1072.832397,-368.521820,349.730560,1075.476196,-488.112244,142.184540,703.891907,-479.809357,155.440048,515.828186,-441.385834,120.876236,325.085052,-414.436951,116.884834,102.059853,-355.592651,148.375687,51.481422,-598.177002,144.447098,47.521725,-457.436920,505.384796,779.679932,-464.944000,486.189850,509.460815,-411.655518,519.662659,358.824738,-393.311951,520.857910,99.461868,-334.436737,482.119263,52.903053,-579.051697,505.517944,48.269131,,,,,,,,,,,,
59,0,-471.487854,259.810730,481.993317,-466.978790,383.625427,473.940033,-436.392395,195.980942,100.332909,-412.229126,441.475555,102.837502,-556.636902,191.256973,1016.980896,-547.542969,433.959625,1013.706909,-376.973236,253.766632,1072.820679,-368.520386,349.721436,1075.465454,-488.098785,142.147263,703.891235,-479.821472,155.471649,515.785889,-441.375671,120.860901,325.066711,-414.429443,116.865845,102.059814,-355.616547,148.367813,51.456451,-598.168213,144.428146,47.523415,-457.447479,505.384491,779.686096,-465.028992,486.213501,509.427002,-411.694916,519.656250,358.809113,-393.313049,520.838074,99.436485,-334.457031,482.094360,52.898281,-579.059814,505.498169,48.268764,,,,,,,,,,,,
60,0,-471.482330,259.782043,481.991272,-467.044983,383.930023,474.141876,-436.381866,195.985291,100.334320,-412.237488,441.478851,102.846054,-556.615662,191.239029,1016.991882,-547.569580,433.963989,1013.705017,-376.970367,253.776733,1072.823120,-368.511200,349.718414,1075.462402,-488.054657,142.130432,703.901123,-479.799469,155.431015,515.828308,-441.364075,120.857147,325.063690,-414.446014,116.874336,102.045387,-355.621887,148.370331,51.463688,-598.180664,144.444061,47.515991,-457.465729,505.378082,779.667175,-465.018616,486.113037,509.387970,-411.728699,519.656555,358.810516,-393.325958,520.845337,99.444145,-334.427795,482.113037,52.915211,-579.052124,505.503784,48.260979,,,,,,,,,,,,
61,0,-471.510620,259.768494,481.992340,-467.086609,383.916199,474.133209,-436.376556,195.971512,100.338242,-412.223572,441.479797,102.835968,-556.590332,191.222198,1016.985291,-547.575623,433.927765,1013.715027,-376.951508,253.768982,1072.824707,-368.501709,349.707855,1075.455688,-488.038483,142.126358,703.891724,-479.787659,155.455872,515.799377,-441.355164,120.847084,325.061157,-414.439758,116.871223,102.046120,-355.610291,148.351593,51.455063,-598.169861,144.418030,47.528061,-457.463806,505.357849,779.683044,-465.057831,486.190216,509.418671,-411.729401,519.658203,358.818329,-393.319977,520.852539,99.471939,-334.444397,482.090332,52.899010,-579.058594,505.492035,48.274876,,,,,,,,,,,,
62,0,-471.505219,259.780396,482.018219,-467.030212,383.921661,474.135071,-436.395355,195.983551,100.358269,-412.238831,441.493011,102.846344,-556.551880,191.201248,1016.993652,-547.570862,433.901794,1013.713928,-376.929901,253.777802,1072.822998,-368.520599,349.731842,1075.463501,-487.987488,142.112579,703.909729,-479.768158,155.437393,515.809998,-441.348816,120.855103,325.064667,-414.412628,116.870544,102.061127,-355.632538,148.366928,51.469807,-598.175476,144.429092,47.519066,-457.500000,505.349335,779.686157,-465.012512,486.121613,509.435120,-411.717224,519.647766,358.819031,-393.329437,520.847595,99.450798,-334.445740,482.106384,52.903378,-579.056885,505.480286,48.266506,,,,,,,,,,,,
63,0,-471.510834,259.776520,482.020721,-466.960297,383.613708,473.924438,-436.372345,195.980789,100.347763,-412.224030,441.462189,102.832085,-556.491821,191.174118,1016.991882,-547.567993,433.863861,1013.706177,-376.934357,253.794312,1072.820068,-368.509857,349.739258,1075.459473,-487.961060,142.087830,703.899414,-479.763336,155.419952,515.794189,-441.342163,120.850868,325.052612,-414.420349,116.867401,102.058998,-355.604980,148.345505,51.465847,-598.174744,144.428497,47.516064,-457.526489,505.314423,779.678345,-465.014954,486.145935,509.426361,-411.715698,519.635071,358.813812,-393.334686,520.840393,99.446304,-334.427582,482.097778,52.901360,-579.044006,505.485718,48.275261,,,,,,,,,,,,
64,0,-471.515533,259.773529,482.022308,-467.028717,383.885986,474.122375,-436.379852,195.971451,100.345398,-412.236176,441.471313,102.849159,-556.442810,191.152588,1016.995911,-547.581299,433.830444,1013.700012,-376.910248,253.804596,1072.833130,-368.506622,349.737549,1075.484009,-487.941559,142.072327,703.918884,-479.802246,155.477875,515.785645,-441.327454,120.854813,325.064178,-414.423523,116.873581,102.061722,-355.609772,148.370895,51.464920,-598.164734,144.441345,47.533096,-457.534393,505.285675,779.686035,-464.997955,486.087128,509.436676,-411.711975,519.622681,358.816833,-393.323151,520.841614,99.448395,-334.434021,482.103882,52.899090,-579.057983,505.482727,48.275826,,,,,,,,,,,,
65,0,-471.536530,259.777008,482.019409,-466.992737,383.881989,474.106903,-436.376801,195.982666,100.353523,-412.224365,441.476257,102.832031,-556.423462,191.142532,1016.978638,-547.571716,433.783295,1013.693115,-376.898315,253.805313,1072.828247,-368.491821,349.761444,1075.479492,-487.930939,142.062347,703.919678,-479.781738,155.436508,515.795837,-441.330261,120.850861,325.046051,-414.418121,116.876297,102.063675,-355.627106,148.346466,51.464115,-598.175415,144.427002,47.525425,-457.542053,505.272980,779.684631,-465.000183,486.061523,509.444061,-411.718475,519.641846,358.826355,-393.326721,520.841248,99.447220,-334.437683,482.087280,52.900761,-579.052246,505.488983,48.274105,,,,,,,,,,,,
66,0,-471.544861,259.738434,482.026398,-467.009674,383.871948,474.091583,-436.358398,195.983215,100.340256,-412.228333,441.465668,102.855019,-556.412170,191.110413,1017.007324,-547.605652,433.792572,1013.698364,-376.872711,253.808533,1072.840576,-368.492462,349.760681,1075.479126,-487.921112,142.052582,703.923828,-479.762482,155.414230,515.810852,-441.337982,120.856941,325.058624,-414.419037,116.876808,102.071815,-355.593658,148.359421,51.470825,-598.169556,144.429062,47.536552,-457.538391,505.246216,779.675110,-465.020111,486.002777,509.425507,-411.735413,519.605408,358.799316,-393.321564,520.833313,99.462173,-334.423523,482.104462,52.910507,-579.055603,505.488403,48.277618,,,,,,,,,,,,
67,0,-471.518677,259.735840,482.022919,-466.964142,383.533112,473.935822,-436.374908,195.967117,100.339119,-412.238678,441.459045,102.825188,-556.381592,191.093536,1017.000671,-547.587585,433.771210,1013.680908,-376.858765,253.789902,1072.834595,-368.470398,349.750885,1075.475342,-487.908691,142.049698,703.928284,-479.756134,155.405716,515.796875,-441.325348,120.840561,325.068024,-414.423798,116.871017,102.062241,-355.595032,148.351578,51.468975,-598.175415,144.438950,47.524094,-457.538940,505.248474,779.674500,-465.007141,486.008606,509.456085,-411.752167,519.606689,358.812775,-393.308228,520.836792,99.456841,-334.443268,482.095856,52.911461,-579.064270,505.489166,48.268787,,,,,,,,,,,,
68,0,-471.519318,259.742798,481.995544,-467.061707,383.845215,474.101929,-436.386383,195.975082,100.344528,-412.224670,441.456116,102.838890,-556.375793,191.078232,1017.005432,-547.570190,433.765594,1013.665894,-376.852844,253.782364,1072.825684,-368.453674,349.737305,1075.477173,-487.926392,142.046158,703.925537,-479.775513,155.446716,515.787903,-441.334045,120.848495,325.072113,-414.442169,116.877884,102.054977,-355.615051,148.367752,51.476109,-598.177734,144.439911,47.523293,-457.540375,505.246704,779.661560,-465.047211,485.997833,509.409241,-411.747589,519.605957,358.803467,-393.316040,520.831665,99.451447,-334.420624,482.098297,52.915768,-579.050415,505.491028,48.265671,,,,,,,,,,,,
