Trajectories
100
,,s29:LKNM,,,s29:RKNM,,,s29:LMED,,,s29:RMED,,,s29:LASI,,,s29:RASI,,,s29:LPSI,,,s29:RPSI,,,s29:LTHI,,,s29:LKNE,,,s29:LTIB,,,s29:LANK,,,s29:LHEE,,,s29:LTOE,,,s29:RTHI,,,s29:RKNE,,,s29:RTIB,,,s29:RANK,,,s29:RHEE,,,s29:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
10,0,-643.216492,227.154037,504.087677,-655.894775,348.054932,507.981415,-631.758911,160.865646,129.259308,-628.847290,407.010468,132.952911,-768.902649,166.593826,1030.232422,-751.032104,402.812592,1037.054321,-576.082520,225.842941,1059.263794,-569.477295,312.198547,1060.766235,-689.397644,89.389412,772.069275,-640.847534,116.252686,528.774658,-612.742493,86.918015,377.902130,-617.943054,88.938782,132.015671,-547.938293,123.039627,80.927490,-791.648804,94.808662,89.230263,-654.672302,469.984833,755.182129,-611.678284,444.490723,536.831604,-587.055237,474.060822,382.527649,-603.603210,476.211212,133.106094,-542.111572,434.889923,78.721825,-785.994568,472.495270,90.630798
11,0,-643.218445,227.150803,504.093719,-655.957153,348.450470,508.044647,-631.781067,160.854660,129.274612,-628.841125,407.019562,132.923126,-768.838867,166.586365,1030.209229,-751.055725,402.806549,1037.054688,-576.060303,225.869965,1059.268555,-570.064514,312.205719,1060.703369,-689.356750,89.409950,772.072693,-640.818054,116.239120,528.776550,-612.718933,86.936760,377.887512,-617.928101,88.929657,132.015182,-547.930969,123.021614,80.934853,-791.651367,94.813011,89.226532,-654.694763,469.945374,755.220642,-611.700317,444.497711,536.835754,-587.072083,474.054749,382.531128,-603.629333,476.219360,133.123932,-542.092102,434.905151,78.729790,-786.004089,472.492371,90.624756
12,0,-643.222900,227.141266,504.088745,-655.914795,348.104828,507.997498,-631.771729,160.835739,129.260696,-628.844482,407.014587,132.950607,-768.795044,166.538940,1030.213745,-751.088684,402.766968,1037.059937,-576.027222,225.897125,1059.277100,-569.710388,312.261536,1060.755615,-689.303284,89.390160,772.073303,-640.827148,116.256035,528.766907,-612.707031,86.924911,377.893463,-617.937256,88.929443,132.017273,-547.943176,123.026909,80.923157,-791.659912,94.816086,89.226555,-654.742676,469.966400,755.232361,-611.705566,444.496979,536.840271,-587.077637,474.074249,382.536926,-603.625854,476.228912,133.119339,-542.043030,434.941132,78.741760,-785.994446,472.492279,90.623253
13,0,-643.232117,227.119446,504.092621,-655.916748,348.140717,507.992279,-631.746765,160.868042,129.259827,-628.822571,406.998840,132.960602,-768.721191,166.513229,1030.213257,-751.120605,402.742493,1037.072021,-576.009460,225.923813,1059.276978,-569.711060,312.300995,1060.743896,-689.228882,89.387115,772.087280,-640.788574,116.234413,528.763489,-612.668335,86.941872,377.897583,-617.932617,88.923080,132.016678,-547.936951,123.007210,80.918686,-791.643677,94.805328,89.234810,-654.773804,469.963257,755.241699,-611.737122,444.521912,536.845276,-587.087585,474.090454,382.541504,-603.604370,476.233093,133.123093,-542.098877,434.888214,78.732307,-785.993713,472.495636,90.622116
14,0,-643.217468,227.113068,504.078674,-655.946411,348.443848,508.053131,-631.764526,160.849655,129.258316,-628.822876,407.007172,132.956696,-768.689270,166.476852,1030.218262,-751.152466,402.709534,1037.079224,-575.959717,225.961609,1059.290894,-569.746582,312.340851,1060.748169,-689.166992,89.372398,772.098755,-640.763916,116.245796,528.763977,-612.677124,86.941643,377.890259,-617.922180,88.930573,132.005890,-547.935791,123.032280,80.916527,-791.640686,94.797997,89.217918,-654.816528,469.994049,755.238220,-611.757568,444.537354,536.835205,-587.102600,474.100555,382.538086,-603.605408,476.246613,133.118439,-542.100586,434.874542,78.724419,-785.986145,472.490601,90.619827
15,0,-643.200439,227.118362,504.079224,-655.964844,348.462830,508.041504,-631.749878,160.832108,129.242523,-628.837036,407.009277,132.939972,-768.631104,166.439926,1030.209839,-751.202942,402.678741,1037.066162,-575.929199,226.013199,1059.287231,-569.737183,312.388794,1060.752441,-689.108643,89.363770,772.093872,-640.729065,116.247864,528.770569,-612.627930,86.944183,377.901154,-617.925415,88.936821,132.006577,-547.927185,123.016441,80.918983,-791.647278,94.805504,89.230896,-654.854553,469.950806,755.249939,-611.784851,444.557251,536.847107,-587.125305,474.112244,382.543915,-603.631836,476.231720,133.132889,-542.111511,434.895416,78.724609,-786.000183,472.491760,90.620598
16,0,-643.199890,227.115646,504.074585,-655.966431,348.452942,508.050812,-631.745605,160.860077,129.265823,-628.803711,406.980530,132.980240,-768.569458,166.405792,1030.213379,-751.357178,402.681366,1037.197998,-575.893127,226.059692,1059.295166,-569.728027,312.426483,1060.751953,-689.018799,89.348442,772.096313,-640.683960,116.245171,528.760254,-612.605469,86.945595,377.905609,-617.924500,88.932365,132.005722,-547.924072,123.023155,80.927078,-791.647217,94.793777,89.225128,-654.924377,469.956604,755.259460,-611.821777,444.567902,536.855896,-587.149597,474.123016,382.540985,-603.625488,476.238312,133.127182,-542.078613,434.927063,78.735741,-785.987488,472.479462,90.631584
17,0,-643.177307,227.117020,504.060455,-655.952942,348.170593,508.003052,-631.733398,160.843246,129.244720,-628.805481,406.992279,132.960983,-768.508179,166.371475,1030.217407,-751.315674,402.613129,1037.105591,-575.840515,226.105072,1059.290039,-569.727234,312.473297,1060.733032,-688.919800,89.335602,772.106262,-640.637634,116.228050,528.774109,-612.571899,86.971764,377.886383,-617.924133,88.944344,132.001099,-547.917480,123.028374,80.918915,-791.641418,94.806633,89.233398,-654.975464,469.975311,755.241455,-611.862793,444.567505,536.850647,-587.188660,474.128174,382.546295,-603.630981,476.228027,133.126160,-542.090881,434.895020,78.733803,-785.987366,472.478241,90.627060
18,0,-643.171875,227.110306,504.079865,-655.929138,348.130432,508.006561,-631.748535,160.887497,129.268494,-628.800171,406.987793,132.961990,-768.433716,166.331848,1030.218750,-751.344666,402.590912,1037.092407,-575.798218,226.153061,1059.292603,-569.683960,312.535950,1060.744385,-688.821716,89.315178,772.106873,-640.612488,116.245445,528.771118,-612.521851,86.973900,377.889740,-617.917236,88.932663,132.006226,-547.932983,123.024780,80.907616,-791.638123,94.797165,89.239082,-655.025208,469.958923,755.238281,-611.892578,444.589569,536.847412,-587.219238,474.145050,382.544525,-603.630920,476.225647,133.128448,-542.107666,434.902557,78.728905,-785.981506,472.480103,90.635101
19,0,-643.120056,227.111893,504.059204,-655.952820,348.186859,507.988617,-631.732666,160.867554,129.256805,-628.819763,406.982178,132.976761,-768.382263,166.307785,1030.217651,-751.404846,402.575348,1037.093506,-575.768555,226.224915,1059.286011,-569.589478,312.587860,1060.757446,-688.748230,89.315048,772.114563,-640.532471,116.236977,528.772888,-612.478088,86.998466,377.876221,-617.893188,88.942894,132.005219,-547.911255,123.026848,80.909378,-791.632996,94.809509,89.240730,-655.101807,469.971710,755.224121,-611.907043,444.591766,536.834534,-587.227234,474.147156,382.535583,-603.616638,476.229797,133.120743,-542.097229,434.894379,78.748055,-785.984253,472.476166,90.626038
