0,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,,,13,,,14,,,15,,,16
8.917633714,2.807186533,,10.45624128,1.847572313,,6.193162466,3.120643106,,3.955892557,1.467129567,,4.097363767,1.805659893,,11.26503195,2.783046314,,6.266527744,2.80333887,,9.97486927,2.057054158,,4.2103318,1.947244407,,5.901412881,2.114380108,,11.72343728,3.990911763,,9.9834856,4.000662432,,6.101852535,1.874748634,,0,0,,13.57309008,2.852898533,,12.85594708,2.292102631
8.646526001,3.017291715,,8.877641131,1.907774068,,9.274867637,5.331977036,,7.766231749,3.286213421,,5.255326664,1.912383077,,10.85312077,3.543447705,,8.024813264,3.038025083,,9.514509163,1.484100101,,9.164832029,2.27816736,,3.939259056,2.311454618,,12.20795169,3.517098108,,9.520975256,2.745432099,,9.984786015,2.512830893,,0,0,,11.9148929,4.349481209,,9.233583274,1.792945084
9.441295917,2.751652946,,9.432421814,1.57758268,,9.543477811,2.928346258,,8.580246376,2.183896374,,4.807902022,1.887907951,,13.30060602,3.694210766,,8.703162487,2.295068742,,9.33193833,1.952292039,,9.366846468,2.784330242,,4.406601567,2.601484064,,13.1488854,3.257623242,,9.026333209,2.449021947,,9.550404635,2.439439679,,0,0,,9.523266436,3.358657042,,9.615791143,1.781548259
9.322027077,2.188203311,,9.455687188,1.247801941,,9.689219578,2.60621931,,9.28907867,1.99655404,,5.836886431,1.998454141,,12.0200519,2.840262588,,9.229766803,1.937850134,,9.210411959,1.619866159,,9.60228233,1.995364265,,3.89022473,1.89246068,,10.72965164,6.643522148,,9.456949443,2.254714741,,9.295162983,2.248679656,,0,0,,10.11944256,2.552268333,,9.327127286,1.584502939
9.030807173,1.94344057,,9.549683132,1.248390563,,9.370231839,2.881349086,,9.637802283,1.524505324,,6.784638468,2.215243301,,11.09791972,3.558031136,,9.339773615,1.734507006,,9.450485491,1.652960381,,9.103457097,1.897845108,,5.342682008,1.9760587,,9.693806731,7.889114035,,9.422154805,2.417907341,,9.440044341,1.964163694,,0,0,,9.833327463,2.402241311,,10.00376064,2.208146123
10.14240216,2.595388626,,11.72218402,1.535000473,,8.138672811,2.34657661,,10.72064708,2.185453894,,6.783047618,2.317286483,,11.06324914,2.757604509,,12.93097176,2.364323113,,13.33169611,1.808145763,,10.46618117,2.139203078,,7.24900704,2.527514003,,15.62015543,3.041034677,,10.14526285,2.692219686,,11.54662877,2.991038035,,0,0,,7.951633277,2.280730742,,11.81749993,2.712421188
