timestamp_ms,timestamp_iso,eda,prv,pulse-rate,sleep-detection,step-counts,missing_data
1712452980000,2024-04-07T01:23:00Z,,,,,,device_not_recording
1712453040000,2024-04-07T01:24:00Z,,,,,,device_not_recording
1712453100000,2024-04-07T01:25:00Z,,,,,,device_not_recording
1712453160000,2024-04-07T01:26:00Z,,,,,,device_not_recording
1712453220000,2024-04-07T01:27:00Z,,,,,,device_not_recording
1712453280000,2024-04-07T01:28:00Z,,,,,,device_not_recording
1712453340000,2024-04-07T01:29:00Z,,,,,,device_not_recording
1712453400000,2024-04-07T01:30:00Z,,,,,,device_not_recording
1712453460000,2024-04-07T01:31:00Z,,,,,,device_not_recording
1712453520000,2024-04-07T01:32:00Z,,,,,,device_not_recording
1712453580000,2024-04-07T01:33:00Z,,,,,,device_not_recording
1712453640000,2024-04-07T01:34:00Z,,,,,,device_not_recording
1712453700000,2024-04-07T01:35:00Z,,,,,,device_not_recording
1712453760000,2024-04-07T01:36:00Z,,,,,,device_not_recording
1712453820000,2024-04-07T01:37:00Z,,,,,,device_not_recording
1712453880000,2024-04-07T01:38:00Z,,,,,,device_not_recording
1712453940000,2024-04-07T01:39:00Z,,,,,,device_not_recording
1712454000000,2024-04-07T01:40:00Z,,,,,,device_not_recording
1712454060000,2024-04-07T01:41:00Z,,,,,,device_not_recording
1712454120000,2024-04-07T01:42:00Z,,,,,,device_not_recording
1712454180000,2024-04-07T01:43:00Z,,,,,,device_not_recording
1712454240000,2024-04-07T01:44:00Z,,,,,,device_not_recording
1712454300000,2024-04-07T01:45:00Z,,,,,,device_not_recording
1712454360000,2024-04-07T01:46:00Z,,,,,,device_not_recording
1712454420000,2024-04-07T01:47:00Z,,,,,,device_not_recording
1712454480000,2024-04-07T01:48:00Z,,,,,,device_not_recording
1712454540000,2024-04-07T01:49:00Z,,,,,,device_not_recording
1712454600000,2024-04-07T01:50:00Z,,,,,,device_not_recording
1712454660000,2024-04-07T01:51:00Z,,,,,,device_not_recording
1712454720000,2024-04-07T01:52:00Z,,,,,,device_not_recording
1712454780000,2024-04-07T01:53:00Z,,,,,,device_not_recording
1712454840000,2024-04-07T01:54:00Z,,,,,,device_not_recording
1712454900000,2024-04-07T01:55:00Z,,,,,,device_not_recording
1712454960000,2024-04-07T01:56:00Z,,,,,,device_not_recording
1712455020000,2024-04-07T01:57:00Z,,,,,,device_not_recording
1712455080000,2024-04-07T01:58:00Z,,,,,,device_not_recording
1712455140000,2024-04-07T01:59:00Z,,,,,,device_not_recording
1712455200000,2024-04-07T02:00:00Z,,,,,,device_not_recording
1712455260000,2024-04-07T02:01:00Z,,,,,,device_not_recording
1712455320000,2024-04-07T02:02:00Z,,,,,,device_not_recording
1712455380000,2024-04-07T02:03:00Z,,,,,,device_not_recording
1712455440000,2024-04-07T02:04:00Z,,,,,,device_not_recording
1712455500000,2024-04-07T02:05:00Z,,,,,,device_not_recording
