,0,1,2
0,1718277586817397700,36.35861948761366,outward
1,1718277587177542700,38.70352384654615,outward
2,1718277588517081500,42.293081454353754,outward
3,1718277589888278600,29.77721082364163,outward
4,1718277591248030300,41.5631203653232,outward
5,1718277592607708000,30.642560916019455,outward
6,1718277603137312000,-21.597711148517895,inward
7,1718277604447964000,-20.664579278186192,inward
8,1718277605748155500,-25.03452923619674,inward
9,1718277607047769500,-17.012307319288492,inward
10,1718277608347303600,-9.377571184122203,inward
11,1718277609658212800,-5.291341716710141,inward
