,0,1,2
0,1718886267972473300,29.72004950227203,outward
1,1718886268454534300,31.451507945679538,outward
2,1718886269906131300,31.066990048497487,outward
3,1718886271345223500,23.81840343841947,outward
4,1718886272784529000,25.439995416255236,outward
5,1718886274275192100,27.788781613874487,outward
6,1718886285575036400,-23.819428039740675,inward
7,1718886287014729600,-21.61592670310408,inward
8,1718886288474525200,-17.25725195397564,inward
9,1718886289884885400,-28.918683996526223,inward
10,1718886291324507100,-24.53050854214776,inward
11,1718886292744276900,-14.95878025676619,inward
