,0,1,2
0,1716550187672808400,46.30382269267975,outward
1,1716550187971179200,48.601273560248686,outward
2,1716550189310971700,44.194906568610044,outward
3,1716550190661696900,41.19419049167054,outward
4,1716550192031042900,45.66163937601099,outward
5,1716550193391291000,50.20750539276396,outward
6,1716550199970902300,-18.016313707844628,inward
7,1716550201341323500,-22.386519795873618,inward
8,1716550202690984100,-24.227735898260633,inward
9,1716550204071154900,-16.22879130640675,inward
10,1716550205440501000,-20.315440467389656,inward
11,1716550206821298300,-26.441097449651867,inward
