timestamp_ms,timestamp_iso,eda,prv,pulse-rate,sleep-detection,step-counts,missing_data
1713398400000,2024-04-18T00:00:00Z,,,,,,device_not_recording
1713398460000,2024-04-18T00:01:00Z,,,,,,device_not_recording
1713398520000,2024-04-18T00:02:00Z,,,,,,device_not_recording
1713398580000,2024-04-18T00:03:00Z,,,,,,device_not_recording
1713398640000,2024-04-18T00:04:00Z,,,,,,device_not_recording
1713398700000,2024-04-18T00:05:00Z,,,,,,device_not_recording
1713398760000,2024-04-18T00:06:00Z,,,,,,device_not_recording
1713398820000,2024-04-18T00:07:00Z,,,,,,device_not_recording
1713398880000,2024-04-18T00:08:00Z,,,,,,device_not_recording
1713398940000,2024-04-18T00:09:00Z,,,,,,device_not_recording
1713399000000,2024-04-18T00:10:00Z,,,,,,device_not_recording
1713399060000,2024-04-18T00:11:00Z,,,,,,device_not_recording
1713399120000,2024-04-18T00:12:00Z,,,,,,device_not_recording
1713399180000,2024-04-18T00:13:00Z,,,,,,device_not_recording
1713399240000,2024-04-18T00:14:00Z,,,,,,device_not_recording
1713399300000,2024-04-18T00:15:00Z,,,,,,device_not_recording
1713399360000,2024-04-18T00:16:00Z,,,,,,device_not_recording
1713399420000,2024-04-18T00:17:00Z,,,,,,device_not_recording
1713399480000,2024-04-18T00:18:00Z,,,,,,device_not_recording
1713399540000,2024-04-18T00:19:00Z,,,,,,device_not_recording
1713399600000,2024-04-18T00:20:00Z,,,,,,device_not_recording
1713399660000,2024-04-18T00:21:00Z,,,,,,device_not_recording
1713399720000,2024-04-18T00:22:00Z,,,,,,device_not_recording
1713399780000,2024-04-18T00:23:00Z,,,,,,device_not_recording
1713399840000,2024-04-18T00:24:00Z,,,,,,device_not_recording
1713399900000,2024-04-18T00:25:00Z,,,,,,device_not_recording
1713399960000,2024-04-18T00:26:00Z,,,,,,device_not_recording
1713400020000,2024-04-18T00:27:00Z,,,,,,device_not_recording
1713400080000,2024-04-18T00:28:00Z,,,,,,device_not_recording
1713400140000,2024-04-18T00:29:00Z,,,,,,device_not_recording
1713400200000,2024-04-18T00:30:00Z,,,,,,device_not_recording
1713400260000,2024-04-18T00:31:00Z,,,,,,device_not_recording
1713400320000,2024-04-18T00:32:00Z,,,,,,device_not_recording
1713400380000,2024-04-18T00:33:00Z,,,,,,device_not_recording
1713400440000,2024-04-18T00:34:00Z,,,,,,device_not_recording
1713400500000,2024-04-18T00:35:00Z,,,,,,device_not_recording
1713400560000,2024-04-18T00:36:00Z,,,,,,device_not_recording
1713400620000,2024-04-18T00:37:00Z,,,,,,device_not_recording
1713400680000,2024-04-18T00:38:00Z,,,,,,device_not_recording
1713400740000,2024-04-18T00:39:00Z,,,,,,device_not_recording
1713400800000,2024-04-18T00:40:00Z,,,,,,device_not_recording
1713400860000,2024-04-18T00:41:00Z,,,,,,device_not_recording
1713400920000,2024-04-18T00:42:00Z,,,,,,device_not_recording
1713400980000,2024-04-18T00:43:00Z,,,,,,device_not_recording
1713401040000,2024-04-18T00:44:00Z,,,,,,device_not_recording
1713401100000,2024-04-18T00:45:00Z,,,,,,device_not_recording
1713401160000,2024-04-18T00:46:00Z,,,,,,device_not_recording
1713401220000,2024-04-18T00:47:00Z,,,,,,device_not_recording
1713401280000,2024-04-18T00:48:00Z,,,,,,device_not_recording
1713401340000,2024-04-18T00:49:00Z,,,,,,device_not_recording
1713401400000,2024-04-18T00:50:00Z,,,,,,device_not_recording
1713401460000,2024-04-18T00:51:00Z,,,,,,device_not_recording
1713401520000,2024-04-18T00:52:00Z,,,,,,device_not_recording
1713401580000,2024-04-18T00:53:00Z,,,,,,device_not_recording
1713401640000,2024-04-18T00:54:00Z,,,,,,device_not_recording
1713401700000,2024-04-18T00:55:00Z,,,,,,device_not_recording
1713401760000,2024-04-18T00:56:00Z,,,,,,device_not_recording
1713401820000,2024-04-18T00:57:00Z,,,,,,device_not_recording
1713401880000,2024-04-18T00:58:00Z,,,,,,device_not_recording
1713401940000,2024-04-18T00:59:00Z,,,,,,device_not_recording
1713402000000,2024-04-18T01:00:00Z,,,,,,device_not_recording
1713402060000,2024-04-18T01:01:00Z,,,,,,device_not_recording
1713402120000,2024-04-18T01:02:00Z,,,,,,device_not_recording
1713402180000,2024-04-18T01:03:00Z,,,,,,device_not_recording
1713402240000,2024-04-18T01:04:00Z,,,,,,device_not_recording
1713402300000,2024-04-18T01:05:00Z,,,,,,device_not_recording
1713402360000,2024-04-18T01:06:00Z,,,,,,device_not_recording
1713402420000,2024-04-18T01:07:00Z,,,,,,device_not_recording
1713402480000,2024-04-18T01:08:00Z,,,,,,device_not_recording
1713402540000,2024-04-18T01:09:00Z,,,,,,device_not_recording
1713402600000,2024-04-18T01:10:00Z,,,,,,device_not_recording
1713402660000,2024-04-18T01:11:00Z,,,,,,device_not_recording
1713402720000,2024-04-18T01:12:00Z,,,,,,device_not_recording
1713402780000,2024-04-18T01:13:00Z,,,,,,device_not_recording
1713402840000,2024-04-18T01:14:00Z,,,,,,device_not_recording
1713402900000,2024-04-18T01:15:00Z,,,,,,device_not_recording
1713402960000,2024-04-18T01:16:00Z,,,,,,device_not_recording
1713403020000,2024-04-18T01:17:00Z,,,,,,device_not_recording
1713403080000,2024-04-18T01:18:00Z,,,,,,device_not_recording
1713403140000,2024-04-18T01:19:00Z,,,,,,device_not_recording
1713403200000,2024-04-18T01:20:00Z,,,,,,device_not_recording
1713403260000,2024-04-18T01:21:00Z,,,,,,device_not_recording
1713403320000,2024-04-18T01:22:00Z,,,,,,device_not_recording
1713403380000,2024-04-18T01:23:00Z,,,,,,device_not_recording
1713403440000,2024-04-18T01:24:00Z,,,,,,device_not_recording
1713403500000,2024-04-18T01:25:00Z,,,,,,device_not_recording
1713403560000,2024-04-18T01:26:00Z,,,,,,device_not_recording
1713403620000,2024-04-18T01:27:00Z,,,,,,device_not_recording
1713403680000,2024-04-18T01:28:00Z,,,,,,device_not_recording
1713403740000,2024-04-18T01:29:00Z,,,,,,device_not_recording
1713403800000,2024-04-18T01:30:00Z,,,,,,device_not_recording
1713403860000,2024-04-18T01:31:00Z,,,,,,device_not_recording
1713403920000,2024-04-18T01:32:00Z,,,,,,device_not_recording
1713403980000,2024-04-18T01:33:00Z,,,,,,device_not_recording
1713404040000,2024-04-18T01:34:00Z,,,,,,device_not_recording
1713404100000,2024-04-18T01:35:00Z,,,,,,device_not_recording
1713404160000,2024-04-18T01:36:00Z,,,,,,device_not_recording
1713404220000,2024-04-18T01:37:00Z,,,,,,device_not_recording
1713404280000,2024-04-18T01:38:00Z,,,,,,device_not_recording
1713404340000,2024-04-18T01:39:00Z,,,,,,device_not_recording
1713404400000,2024-04-18T01:40:00Z,,,,,,device_not_recording
1713404460000,2024-04-18T01:41:00Z,,,,,,device_not_recording
1713404520000,2024-04-18T01:42:00Z,,,,,,device_not_recording
1713404580000,2024-04-18T01:43:00Z,,,,,,device_not_recording
1713404640000,2024-04-18T01:44:00Z,,,,,,device_not_recording
1713404700000,2024-04-18T01:45:00Z,,,,,,device_not_recording
1713404760000,2024-04-18T01:46:00Z,,,,,,device_not_recording
1713404820000,2024-04-18T01:47:00Z,,,,,,device_not_recording
1713404880000,2024-04-18T01:48:00Z,,,,,,device_not_recording
1713404940000,2024-04-18T01:49:00Z,,,,,,device_not_recording
1713405000000,2024-04-18T01:50:00Z,,,,,,device_not_recording
1713405060000,2024-04-18T01:51:00Z,,,,,,device_not_recording
1713405120000,2024-04-18T01:52:00Z,,,,,,device_not_recording
