,time (ns),deg test,absolute error (deg),RHEE manual x-,RHEE manual y-,RHEE proprio x-,RHEE proprio y-,RTOE manual x-,RTOE manual y-,RTOE proprio x-,RTOE proprio y-
0,1712587573726457900,-5,-1.9695927437201286,153.33729777010564,322.6452501059236,153.19958963854467,322.16235680450296,-104.62733224041071,282.6107642599699,-105.67836278849224,291.0548147413609
1,1712587582876458900,10,1.442162364892468,153.98740331617648,319.12372645531894,153.8669947819152,319.02956185426973,-104.75055364204518,351.15850846037085,-103.82956048179824,357.54317188777856
2,1712587594966460700,-10,-0.5054705211511035,153.2866373980362,323.17263226024863,153.3402478366058,323.52979854773565,-102.19446278527487,268.42856032177303,-102.59284434577373,271.0460241798254
3,1712587607535461200,-15,-2.7831880117726246,152.93640638378415,323.52866218651656,153.20137933939364,323.7872006852671,-96.7164390087321,246.66497422995164,-100.17208604948112,259.0642412965468
4,1712587617652466700,5,0.467236818970866,153.90619090992817,320.10974692565077,153.86940119877266,320.77058413781964,-106.39337841403118,333.5793015257191,-106.3032114070236,336.36185666192074
5,1712587629636465400,15,-0.946380071205823,154.1829100479335,318.14045445026153,153.94946177622512,318.73534557302935,-100.64795555182168,374.9687990577082,-101.59275243340223,371.307370143916
6,1712587642336467100,15,0.21276116335813633,154.18637746283832,318.19171485250314,154.18470113976278,318.2072442708397,-100.56729438786444,375.46754696106075,-100.41189332045151,376.44179861414864
7,1712587656978471200,-15,-1.7172816378602906,152.9155976390612,323.4954517221309,153.13097854790945,323.75936453767804,-96.58560143018785,245.9354468836367,-98.76983972741806,253.65903397805147
8,1712587668313469800,10,-6.007129269532106,154.05794923774,318.9561345334157,153.76979582924483,320.8772484639673,-104.48309037287737,353.4183367506045,-106.99036693032825,328.0942162213189
9,1712587680160474200,-5,-3.14900222195475,153.4860513621557,322.5291284582644,153.37235500969942,321.8804595385278,-105.08555561767153,285.11799291950075,-106.43291198878478,298.76821551838293
10,1712587691130476500,5,-0.099742731516133,153.98293237764898,320.4534455192489,153.85579622910208,320.57879415319803,-106.37178890569835,337.0885033505708,-106.52082412300848,336.7601771096259
11,1712587703340478200,-10,-0.08259771775869496,153.31093817934433,323.12035019964645,153.30431166733285,323.33414509007514,-102.31664181071437,268.23900384431454,-102.30057412622165,268.8430168995827
12,1712587716093475000,10,-0.8539934558979798,153.93331066401032,319.0553306487092,153.82140691295882,319.3932772923114,-105.03845641948416,350.62386670584664,-105.35898825078483,347.07357934659234
13,1712587728920480300,-5,-2.1552218538305974,153.39802246152593,322.1983597847736,153.4345210924247,321.8340231776108,-105.53600805235607,288.83674718270055,-106.38228307211581,298.2508293784664
14,1712587740494481800,15,-1.982845569416721,154.36279891514866,317.88991053023875,154.00517662981153,318.8230991502894,-100.82364644591512,374.07029206954263,-102.57914661620342,366.06792375481524
15,1712587751686480300,-15,-0.536085282589907,153.0253145446671,323.6443292748474,153.1017792065548,323.8207659762,-97.65577668443576,249.54050746786214,-98.30361291003032,252.05366864855435
16,1712587769946482700,5,-1.9675940518144266,154.01933618089805,320.56191822826486,153.73172291198242,321.1164055257794,-106.52866904337627,331.77687328865477,-107.10482359823669,323.379524655623
17,1712587781294487300,-10,-3.4623804926012074,153.34834882048676,323.3491886344922,153.04965906328542,321.93776926320163,-101.60548922407278,265.54899666694376,-104.16044447263764,279.7666493298061
