Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s01:LKNM,,,s01:RKNM,,,s01:LMED,,,s01:RMED,,,s01:LASI,,,s01:RASI,,,s01:LPSI,,,s01:RPSI,,,s01:LTHI,,,s01:LKNE,,,s01:LTIB,,,s01:LANK,,,s01:LHEE,,,s01:LTOE,,,s01:RTHI,,,s01:RKNE,,,s01:RTIB,,,s01:RANK,,,s01:RHEE,,,s01:RTOE,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
9,0,-733.558533,206.863663,484.334381,-752.034485,299.857666,481.285156,-712.090271,162.379166,113.184006,-710.853333,346.611237,105.667038,-857.6599,140.613814,970.538905,-849.752747,369.303314,962.815735,-685.521912,203.718536,1022.614807,-677.478577,284.491699,1021.68512,-767.941345,67.70266,693.660583,-741.617493,84.724968,509.864105,-718.853638,64.573486,363.720886,-692.579468,84.747749,110.964554,-636.669922,118.244331,39.825489,-861.086975,120.66864,63.82782,-733.053467,444.906891,753.169373,-737.553955,418.671387,501.719055,-702.53363,437.509094,385.305267,-687.840027,426.583435,93.311516,-632.898071,383.733429,37.07169,-856.970215,411.374725,61.361954
10,0,-733.527832,206.89119,484.334564,-751.034668,299.541351,481.330688,-712.063904,162.141953,113.062889,-710.878601,346.603729,105.670197,-857.623278,140.611342,970.542445,-849.716125,369.300842,962.819275,-685.443237,203.76297,1022.621643,-677.428772,284.540741,1021.68634,-767.871948,67.726028,693.672668,-741.569885,84.758095,509.881927,-718.821167,64.58223,363.719025,-692.585022,84.762573,110.969017,-636.676758,118.251457,39.827412,-861.097168,120.664665,63.816055,-733.028442,444.931549,753.150024,-737.537781,418.665649,501.70578,-702.55896,437.538818,385.289703,-687.869751,426.592804,93.322472,-632.895142,383.732819,37.07217,-856.98053,411.36496,61.362762
11,0,-733.503418,206.896286,484.323242,-751.114014,299.642487,481.266113,-712.073853,162.150391,113.072426,-710.840759,346.601807,105.655632,-857.556323,140.643569,970.552882,-849.64917,369.333069,962.829712,-685.380554,203.804504,1022.629272,-677.382812,284.578339,1021.697021,-767.7995,67.738762,693.66864,-741.5177,84.78215,509.882935,-718.792236,64.610725,363.706909,-692.574158,84.763008,110.973846,-636.668823,118.239243,39.825443,-861.082092,120.666054,63.828373,-733.041443,444.952026,753.141174,-737.552551,418.678406,501.681519,-702.578918,437.560394,385.283356,-687.838867,426.611298,93.301674,-632.86792,383.749359,37.077003,-856.985901,411.368256,61.358734
12,0,-733.459839,206.610199,484.456848,-751.137207,299.621948,481.290192,-712.069946,162.128586,113.067154,-710.819275,346.582153,105.609642,-857.506884,140.614669,970.551051,-849.599731,369.304169,962.827881,-685.292114,203.836334,1022.639404,-677.32196,284.60733,1021.710022,-767.727539,67.757904,693.694641,-741.480225,84.802658,509.881744,-718.773071,64.622101,363.718567,-692.584351,84.761772,110.975914,-636.679749,118.248581,39.82552,-861.078003,120.659691,63.819485,-733.015869,444.975555,753.124329,-737.555542,418.683319,501.67746,-702.597717,437.574432,385.26413,-687.808044,426.616943,93.291328,-632.871155,383.733765,37.090588,-856.980591,411.350647,61.352757
13,0,-733.421265,206.887589,484.362915,-751.122803,299.574982,481.350403,-712.093018,162.362747,113.187576,-710.853271,346.585419,105.634438,-857.455737,140.657119,970.565394,-849.548584,369.346619,962.842224,-685.24054,203.890625,1022.645325,-677.287048,284.652222,1021.705139,-767.653748,67.788742,693.688171,-741.388062,84.816566,509.931335,-718.742065,64.652718,363.73526,-692.582336,84.769684,110.984375,-636.686707,118.252907,39.833382,-861.096741,120.668976,63.84483,-733.018982,445.018738,753.130188,-737.548096,418.702881,501.685272,-702.585632,437.582794,385.276794,-687.817322,426.619781,93.29052,-632.88208,383.756989,37.081326,-856.992737,411.3703,61.346558
14,0,-733.402588,206.890808,484.364197,-750.729858,298.939911,481.244659,-712.068054,162.148026,113.086754,-710.833923,346.562164,105.618057,-857.418689,140.646224,970.565516,-849.511536,369.335724,962.842346,-685.171204,203.904099,1022.651917,-677.235046,284.664703,1021.714355,-767.612183,67.799026,693.678955,-741.346924,84.848038,509.928711,-718.697449,64.670059,363.733887,-692.57373,84.78315,110.982864,-636.666809,118.250641,39.847103,-861.083191,120.675423,63.828068,-732.985168,445.033417,753.120422,-737.522034,418.738922,501.675293,-702.578247,437.595764,385.275818,-687.80304,426.637665,93.300568,-632.867126,383.75296,37.090012,-856.99762,411.353912,61.342587
15,0,-733.388672,206.889481,484.351837,-750.739136,298.958984,481.259277,-712.114319,162.37059,113.166115,-710.841309,346.380402,105.412209,-857.357043,140.677016,970.583399,-849.44989,369.366516,962.860229,-685.13092,203.95932,1022.650391,-677.189636,284.71228,1021.72052,-767.565979,67.837372,693.69519,-741.325684,84.889305,509.920227,-718.683167,64.708633,363.730316,-692.584961,84.802498,110.983292,-636.678711,118.26194,39.840935,-861.07959,120.672935,63.835861,-732.944946,445.07724,753.114136,-737.497925,418.765594,501.675354,-702.563782,437.599487,385.251617,-687.815063,426.633606,93.283867,-632.870972,383.761292,37.082108,-856.975769,411.347992,61.322575
16,0,-733.381897,206.923569,484.343811,-750.553406,298.973755,481.277832,-712.09259,162.362778,113.185585,-710.836792,346.570343,105.583878,-857.3026,140.68669,970.598231,-849.395447,369.37619,962.875061,-685.07251,203.96582,1022.648193,-677.149536,284.736359,1021.718994,-767.521301,67.871658,693.67334,-741.306274,84.913948,509.902832,-718.664551,64.720459,363.740082,-692.579102,84.80127,110.981506,-636.669495,118.246948,39.847748,-861.073669,120.666664,63.834587,-732.893555,445.074036,753.113708,-737.439331,418.763245,501.673462,-702.520508,437.62088,385.269806,-687.835938,426.657043,93.295357,-632.857605,383.764618,37.07373,-856.971741,411.343597,61.328037
17,0,-733.399719,206.986343,484.346466,-750.474976,298.970459,481.314697,-712.102173,162.355682,113.184418,-710.810547,346.366241,105.410347,-857.24187,140.692702,970.588099,-849.334717,369.382202,962.864929,-685.036438,203.983566,1022.66571,-677.131165,284.760101,1021.73175,-767.479248,67.900162,693.684448,-741.258118,84.93354,509.962616,-718.641663,64.75386,363.763489,-692.602722,84.812912,110.998985,-636.661072,118.260155,39.849327,-861.079407,120.662056,63.84425,-732.81604,445.078003,753.112427,-737.389221,418.786438,501.665344,-702.469543,437.638275,385.259674,-687.815735,426.668488,93.284363,-632.839844,383.762573,37.08717,-856.984558,411.332214,61.330887
18,0,-733.390015,206.996445,484.340851,-750.368347,298.993256,481.262024,-712.106323,162.369812,113.184708,-710.820129,346.598297,105.580666,-857.184314,140.673507,970.605616,-849.277161,369.363007,962.882446,-684.979919,204.003632,1022.658081,-677.089233,284.768585,1021.736145,-767.455139,67.906769,693.686829,-741.255066,84.965622,509.938965,-718.659729,64.778267,363.74173,-692.581299,84.81002,111.001663,-636.680969,118.266884,39.83744,-861.075378,120.68737,63.830711,-732.789307,445.104279,753.110962,-737.334229,418.793945,501.666077,-702.427795,437.66571,385.252625,-687.799866,426.678406,93.280914,-632.868164,383.758911,37.059494,-856.980103,411.333008,61.32235
