,time (ns),deg test,FPA manual (deg),FPA prop (deg),absolute error (deg),RHEE manual x-,RHEE manual y-,RHEE proprio x-,RHEE proprio y-,RTOE manual x-,RTOE manual y-,RTOE proprio x-,RTOE proprio y-
0,1715069951316739500,-5,-7.374885441518966,-6.8955574352031475,0.47932800631581873,148.60435104854005,302.1106293324629,148.78857053067736,302.28056793061523,-79.9883735611904,272.52350186727483,-80.08691920322963,274.60159648900833
1,1715069964606804800,10,7.918949330049892,9.322736724535023,1.4037873944851311,149.32027235274512,299.4887203423538,149.31878383035257,299.2379842018725,-78.54055874579079,331.18383806903114,-77.68823934074135,336.50431492953027
2,1715069976398988400,-10,-11.034162880626546,-10.887067996906913,0.14709488371963353,147.90468618741252,301.9059054104557,147.99933831898647,302.0623837320005,-77.92734685416069,257.8688476728937,-78.08557604011128,258.5782102406004
3,1715069992552826000,-15,-16.776410459047916,-18.64978753099082,1.8733770719429046,147.61546443823116,302.95687797891156,147.4977369211555,303.37271663212965,-73.0173036013238,236.44302377107604,-70.74831501383053,229.71361854349593
4,1715070006858322400,5,3.2544770243209413,7.593637085075216,4.339160060754275,149.00556868561694,300.12543269014566,149.18750233690386,299.2917851405005,-80.60792058319556,313.18183115746353,-78.78676045731926,329.68427843912065
5,1715070022090647100,15,13.115140122059913,12.976487511569088,0.13865261049082456,149.45820208696594,298.56529869162097,149.25360721733728,298.42200595824085,-74.49597460870578,350.7434554283766,-74.69055292820376,350.02679996453776
6,1715070036504726900,15,12.654684578978037,12.717764649700058,0.06308007072202138,149.4780651190299,298.54942172478957,149.25136269656053,298.53742646941265,-74.9773547955297,348.94613005929114,-74.95166551085705,349.13681109799415
7,1715070050632100800,-15,-16.38931293797125,-16.35846984456377,0.030843093407479927,147.5845292108456,302.84001039942854,147.978997990661,303.04862184807035,-73.40793302128466,237.8431803376846,-73.21759443050878,238.12110716794243
8,1715070063800999500,10,7.715718065434171,7.78283916423547,0.0671210988012989,149.62907078552226,299.140390268773,149.5213859685774,299.0545867683193,-78.66940894623534,330.071332614214,-78.62962397743003,330.23777397849807
9,1715070076236283000,-5,-6.598213471948488,-6.090368665531916,0.5078448064165721,148.6510066972109,302.23962763772363,148.91829846569422,302.59819598277727,-80.18156927559815,275.77002591851607,-80.2294269352682,278.14832725528674
10,1715070086718413300,5,3.2068476008494016,1.8237951532608372,1.3830524475885644,149.35165232177025,299.72210129812936,149.21180528603676,299.87823125719717,-80.59635059778778,312.6057584698217,-80.84480720098718,307.20369055816275
11,1715070100446694200,-10,-11.289716636388533,-10.646709445301202,0.6430071910873316,148.4276494868176,302.2259188186167,148.2286052737914,301.71441480859744,-77.686304151911,257.086093905891,-78.118201225739,259.16374396200786
12,1715070114024341800,10,7.915827527955615,7.409719920095333,0.5061076078602822,149.66688096652615,299.1310774782433,149.4128751066171,299.02531946623463,-78.55730705019285,330.86406217467396,-78.90651259437682,328.71821787035435
13,1715070127420477900,-5,-6.8106771694306545,-9.669584048055475,2.85890687862482,148.59869419307074,302.37418748534867,147.88652842755786,302.0521585610572,-80.13445015809124,275.05617945803016,-78.66540890446856,263.4506965086032
14,1715070140626217900,15,12.581781354519341,14.021424085077404,1.439642730558063,149.8231042671242,298.4726926555157,149.75956753847825,298.10732493542207,-75.04913593765656,348.6625224902303,-73.710072391823,353.91332664528016
15,1715070154688268400,-15,-16.46933166316286,-16.20833489580357,0.2609967673592877,147.85333609726592,302.8279854908782,147.9339604840052,302.9026598295675,-73.12596708317758,237.4995739060594,-73.2952499333448,238.59473232426538
16,1715070166930472100,5,3.1834196210193904,2.719492653576317,0.4639269674430735,149.34049552350916,299.74974297871586,149.24341050732843,299.72653655515677,-80.61693284798469,312.5396066949748,-80.70952354395371,310.6492494037488
17,1715070179447997000,-10,-11.544542744779681,-10.768815627130497,0.7757271176491844,148.32214964915948,302.1492414109308,148.48068139928665,302.3106003457482,-77.58613984530902,256.0047567949943,-78.05069116808536,259.22519748875686
