,0,1,2
0,1715156637636494200,36.06178794195412,outward
1,1715156637825493700,38.58412937242423,outward
2,1715156639145644700,33.38657779617596,outward
3,1715156640465641800,33.346451591908625,outward
4,1715156641785503000,32.42196979785316,outward
5,1715156643046500700,33.88474947118439,outward
6,1715156649555257700,-35.80479165479372,inward
7,1715156650805304000,-37.13018351366529,inward
8,1715156652106305800,-14.405241021068843,inward
9,1715156653396302900,-19.56796663679334,inward
10,1715156654635993600,-32.13934328812505,inward
11,1715156655875990400,-29.27833341227356,inward
