,0,1,2
0,1719556295016896200,31.54870370231645,outward
1,1719556295649499600,32.70169444316161,outward
2,1719556297039776800,37.88318138148428,outward
3,1719556298449488900,35.367285185405315,outward
4,1719556299899673200,42.03064422052272,outward
5,1719556301399726700,38.9410788040465,outward
6,1719556312569729700,-14.742562448306575,inward
7,1719556313949668300,-11.078343934430217,inward
8,1719556315339555900,-5.273888013911909,inward
9,1719556316739932900,-18.17537044036663,inward
10,1719556318099632000,-21.883452788452345,inward
11,1719556319449900000,-18.238922296449537,inward
