,0,1,2
0,1717744671135137800,68.25769328353181,outward
1,1717744671595108900,69.82871707291798,outward
2,1717744671689792200,66.71714307336244,outward
3,1717744672995616200,67.75020597182993,outward
4,1717744674394860800,66.11402794767591,outward
5,1717744675794944000,72.19716749122121,outward
6,1717744685714876300,-39.2614469637942,inward
7,1717744687125332000,-39.19921023232726,inward
8,1717744688545319800,-36.57223455373446,inward
9,1717744689965610000,-39.87779822150956,inward
10,1717744691364830000,-36.917435178366645,inward
11,1717744692775574700,-40.03056819329086,inward
