Trajectories
100
,,s17:LKNM,,,s17:RKNM,,,s17:LMED,,,s17:RMED,,,s17:LASI,,,s17:RASI,,,s17:LPSI,,,s17:RPSI,,,s17:LTHI,,,s17:LKNE,,,s17:LTIB,,,s17:LANK,,,s17:LHEE,,,s17:LTOE,,,s17:RTHI,,,s17:RKNE,,,s17:RTIB,,,s17:RANK,,,s17:RHEE,,,s17:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-515.160522,188.376526,565.476501,-511.556030,359.393585,564.001038,-466.237762,140.545670,138.471390,-478.841064,399.831482,139.572479,-640.232849,142.024109,1128.386475,-633.744507,412.660553,1115.316162,-441.324310,226.857910,1154.749634,-437.265594,329.345215,1145.640747,-557.671082,59.696281,878.169495,-516.881348,65.119827,625.404358,-463.075714,39.811005,413.327637,-424.163452,56.945320,122.330132,-361.188721,102.771027,58.210342,-635.124451,69.357445,71.280998,-541.856140,492.764465,870.497986,-494.473053,489.326111,566.790649,-460.599915,501.551392,392.340576,-427.308807,474.671051,125.895096,-375.566467,415.736847,61.850582,-635.075745,496.513611,71.197617
2,0,-515.125488,188.395752,565.493286,-511.583038,359.389038,564.019958,-466.248199,140.546387,138.484863,-478.880096,399.847656,139.588028,-640.262939,142.022919,1128.407959,-633.763733,412.686096,1115.341919,-441.359009,226.864777,1154.769653,-437.307465,329.355011,1145.653687,-557.745789,59.769012,878.147522,-516.855957,65.125221,625.424988,-463.051849,39.805626,413.361084,-424.157318,56.946472,122.343773,-361.195557,102.781540,58.220821,-635.120422,69.355446,71.274887,-541.853760,492.749603,870.518738,-494.475281,489.320496,566.825012,-460.596863,501.540497,392.363281,-427.311737,474.679108,125.902412,-375.565308,415.737671,61.850578,-635.059753,496.523590,71.203644
3,0,-515.114319,188.403061,565.512268,-511.628143,359.399200,564.034607,-466.260406,140.560257,138.496124,-478.899170,399.858185,139.596909,-640.287598,142.035416,1128.417358,-633.822021,412.678680,1115.380859,-441.376038,226.867508,1154.790771,-437.335571,329.356903,1145.676514,-557.803467,59.863174,878.122009,-516.826294,65.141655,625.448547,-463.027954,39.818020,413.383881,-424.173157,56.952873,122.343781,-361.192505,102.772873,58.229683,-635.126404,69.353905,71.274834,-541.892395,492.748871,870.532959,-494.485260,489.311188,566.847290,-460.620880,501.517822,392.382080,-427.314423,474.680725,125.914711,-375.571991,415.752014,61.872345,-635.069153,496.526001,71.203453
4,0,-515.105469,188.417236,565.541138,-511.673523,359.370178,564.038818,-466.264771,140.547348,138.498306,-478.902740,399.849976,139.583572,-640.274414,142.017654,1128.425659,-633.859375,412.672302,1115.398926,-441.379242,226.873520,1154.806274,-437.357391,329.375793,1145.692505,-557.840027,59.917789,878.106323,-516.823608,65.157104,625.459290,-463.004059,39.838928,413.397003,-424.160889,56.955074,122.349510,-361.195618,102.785118,58.230186,-635.132996,69.360664,71.276894,-541.922180,492.743622,870.548218,-494.527954,489.325928,566.857483,-460.632812,501.526703,392.407471,-427.314606,474.677063,125.937149,-375.566376,415.744781,61.877831,-635.063965,496.527466,71.203804
5,0,-515.106873,188.418091,565.535645,-511.700043,359.375793,564.033936,-466.265625,140.541306,138.499115,-478.901154,399.859863,139.610138,-640.260193,142.006409,1128.437378,-633.869690,412.672363,1115.400391,-441.381226,226.892090,1154.816895,-437.367981,329.389313,1145.715088,-557.871582,60.006039,878.096802,-516.811768,65.171303,625.469788,-462.977203,39.858662,413.397980,-424.147644,56.967316,122.359436,-361.202057,102.772202,58.226349,-635.136658,69.355324,71.276955,-541.995483,492.721588,870.541077,-494.552338,489.311005,566.853821,-460.660309,501.518555,392.414856,-427.321594,474.700867,125.943321,-375.574127,415.733917,61.889652,-635.068481,496.532471,71.200310
6,0,-515.110718,188.423752,565.528259,-511.753723,359.382111,564.005554,-466.263214,140.552826,138.481934,-478.909210,399.849731,139.587189,-640.258240,141.988968,1128.448608,-633.926941,412.634247,1115.413818,-441.387085,226.922836,1154.812622,-437.406586,329.407318,1145.710571,-557.895081,60.101524,878.064331,-516.804749,65.178207,625.453979,-462.972443,39.882751,413.388031,-424.153503,56.969193,122.337128,-361.182434,102.771873,58.225941,-635.129883,69.346107,71.271736,-542.042175,492.704071,870.530762,-494.581177,489.313049,566.863037,-460.430786,501.873779,392.469849,-427.316803,474.699371,125.947578,-375.565491,415.743561,61.880684,-635.080139,496.530731,71.207214
7,0,-515.164001,188.441483,565.500549,-511.794556,359.381256,564.025391,-466.262848,140.554672,138.481979,-478.917511,399.843597,139.615875,-640.201782,141.949432,1128.441650,-633.966003,412.617462,1115.432251,-441.351166,226.926407,1154.823242,-437.421539,329.450348,1145.731323,-557.888611,60.186951,878.041748,-516.782166,65.179260,625.456604,-462.963959,39.879791,413.384277,-424.157379,56.967190,122.350563,-361.198151,102.782188,58.234333,-635.128235,69.347397,71.283134,-542.128845,492.687134,870.527954,-494.633698,489.336823,566.859253,-460.681244,501.512360,392.432983,-427.311432,474.698944,125.963020,-375.571106,415.733246,61.891518,-635.082031,496.519775,71.194954
8,0,-515.161560,188.418716,565.495117,-511.799408,359.374603,564.011902,-466.238556,140.539337,138.469650,-478.925507,399.860779,139.594925,-640.149048,141.917450,1128.444946,-633.977661,412.591309,1115.420288,-441.338806,226.984146,1154.801636,-437.449463,329.478180,1145.717896,-557.903870,60.248287,878.026672,-516.798157,65.174263,625.433777,-462.969940,39.881439,413.380188,-424.143158,56.961239,122.348816,-361.199249,102.780777,58.203899,-635.113953,69.326683,71.274033,-542.202026,492.671143,870.511169,-494.657471,489.349976,566.844727,-460.717010,501.519196,392.421082,-427.322876,474.729553,125.954018,-375.570923,415.730377,61.880260,-635.063965,496.521179,71.174988
9,0,-515.183167,188.426865,565.487915,-511.825867,359.406616,564.000916,-466.246918,140.557098,138.459427,-478.946228,399.871918,139.597687,-640.105347,141.906509,1128.442993,-634.016785,412.569458,1115.426514,-441.307953,226.995087,1154.784668,-437.462769,329.517487,1145.708496,-557.885437,60.301620,878.003723,-516.800903,65.166702,625.425964,-462.972137,39.865002,413.391968,-424.153534,56.958336,122.344063,-361.192139,102.769608,58.212212,-635.121216,69.339325,71.278046,-542.292664,492.647675,870.492249,-494.685486,489.364105,566.832825,-460.542450,501.863647,392.469177,-427.333191,474.731659,125.948158,-375.572723,415.717407,61.874447,-635.070007,496.527283,71.182007
