Trajectories
100
,,s34:LKNM,,,s34:RKNM,,,s34:LMED,,,s34:RMED,,,s34:LASI,,,s34:RASI,,,s34:LPSI,,,s34:RPSI,,,s34:LTHI,,,s34:LKNE,,,s34:LTIB,,,s34:LANK,,,s34:LHEE,,,s34:LTOE,,,s34:RTHI,,,s34:RKNE,,,s34:RTIB,,,s34:RANK,,,s34:RHEE,,,s34:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-590.371887,187.526047,444.194153,-584.893738,374.799652,439.961456,-602.295288,97.406357,123.409065,-582.179199,470.808228,120.565392,-687.184753,157.608551,895.372375,-682.596436,409.587433,885.254272,-516.240051,228.546707,948.419922,-520.270264,331.258636,944.846130,-608.125061,70.190643,725.124207,-594.196106,61.464542,497.476044,-566.595703,21.795198,349.083771,-586.472900,18.232021,120.686356,-520.821838,62.037289,90.074814,-751.297302,55.865459,81.578362,-620.557068,490.727417,653.845642,-585.189575,502.111267,485.298798,-568.280457,540.699280,344.665100,-578.301880,549.876221,122.932594,-514.533569,515.870422,89.153503,-748.493408,512.271973,81.995209
2,0,-590.393738,187.528656,444.186646,-584.904297,374.790680,439.960724,-602.291809,97.407440,123.415604,-582.169556,470.821320,120.547989,-687.203918,157.597763,895.370361,-682.604675,409.606445,885.256653,-516.221130,228.556366,948.420898,-520.314819,331.270782,944.843262,-608.140320,70.214333,725.132385,-594.213318,61.475609,497.470734,-566.602051,21.776106,349.093597,-586.476868,18.231823,120.679893,-520.827881,62.028145,90.063210,-751.295044,55.868839,81.577682,-620.572510,490.732117,653.848022,-585.195435,502.112579,485.291779,-568.296265,540.695251,344.662323,-578.302002,549.882019,122.939255,-514.538208,515.865173,89.142540,-748.489990,512.274292,82.000603
3,0,-590.409729,187.535110,444.182251,-584.937744,374.802673,439.949402,-602.301636,97.421661,123.420174,-582.190979,470.828400,120.565773,-687.223145,157.621292,895.382080,-682.611023,409.630005,885.254272,-516.239746,228.561295,948.421997,-520.324585,331.278290,944.833435,-608.154663,70.225235,725.138306,-594.229309,61.483631,497.481842,-566.616089,21.799707,349.083466,-586.464600,18.241451,120.693657,-520.822327,62.033997,90.065735,-751.281738,55.871979,81.577370,-620.588196,490.737335,653.852722,-585.201111,502.110168,485.289917,-568.290955,540.699951,344.660858,-578.296448,549.875977,122.933983,-514.537537,515.873474,89.146088,-748.495117,512.276917,81.993706
4,0,-590.430725,187.543320,444.177094,-584.938477,374.820923,439.940948,-602.279602,97.428001,123.421661,-582.193359,470.830170,120.568756,-687.254272,157.621964,895.363586,-682.631836,409.621429,885.257568,-516.270752,228.580612,948.411804,-520.339600,331.290833,944.828308,-608.158081,70.232460,725.137085,-594.233643,61.487118,497.485718,-566.612854,21.816067,349.085175,-586.467163,18.244837,120.691292,-520.816040,62.043812,90.067383,-751.287964,55.870296,81.585022,-620.597290,490.741028,653.843018,-585.204529,502.122345,485.294983,-568.300537,540.702515,344.658051,-578.296265,549.879944,122.943169,-514.526123,515.874390,89.150948,-748.489563,512.279297,82.003624
5,0,-590.434692,187.554260,444.185181,-584.933777,374.809662,439.958679,-602.274170,97.432793,123.417290,-582.153931,470.809448,120.574493,-687.250000,157.663315,895.360046,-682.636169,409.648560,885.275818,-516.264160,228.585464,948.412048,-520.367126,331.305634,944.828552,-608.176392,70.234329,725.140076,-594.248230,61.499805,497.487427,-566.633057,21.827925,349.090759,-586.472778,18.256701,120.702812,-520.800903,62.057709,90.073814,-751.282471,55.875164,81.592209,-620.592834,490.766937,653.855408,-585.207886,502.127045,485.292175,-568.289307,540.713135,344.653900,-578.288574,549.890564,122.938332,-514.525513,515.881714,89.159065,-748.483887,512.299072,81.996529
6,0,-590.440735,187.546967,444.177246,-584.916016,374.821045,439.959259,-602.280640,97.437721,123.427910,-582.141113,470.807739,120.562584,-687.278931,157.699905,895.355103,-682.647705,409.673157,885.274902,-516.284241,228.596481,948.417908,-520.361450,331.314667,944.834839,-608.191284,70.270699,725.133545,-594.265503,61.521774,497.492798,-566.627747,21.835621,349.103149,-586.461914,18.265156,120.709587,-520.807861,62.059532,90.071808,-751.279480,55.888351,81.590477,-620.586121,490.771606,653.853210,-585.187927,502.149231,485.288818,-568.287354,540.730347,344.649933,-578.301880,549.895264,122.937729,-514.512451,515.892395,89.160896,-748.486328,512.305847,81.996559
7,0,-590.442993,187.583557,444.170044,-584.908386,374.828003,439.968750,-602.277832,97.445702,123.425331,-582.161865,470.811523,120.588425,-687.270508,157.719833,895.358826,-682.641296,409.678436,885.285217,-516.290527,228.603806,948.412842,-520.356445,331.320953,944.834900,-608.211609,70.274330,725.139343,-594.277771,61.528618,497.497040,-566.645508,21.837133,349.104919,-586.443298,18.266090,120.706573,-520.815979,62.067413,90.066040,-751.277283,55.899357,81.591003,-620.579285,490.811401,653.848022,-585.183289,502.160065,485.287506,-568.288147,540.728271,344.642151,-578.285522,549.897461,122.949982,-514.514099,515.898132,89.173996,-748.481995,512.299133,82.008003
8,0,-590.461548,187.578598,444.158691,-584.906982,374.846222,439.949463,-602.266357,97.445953,123.412567,-582.101990,470.785980,120.558899,-687.267822,157.752899,895.337952,-682.621094,409.700012,885.286987,-516.328613,228.595108,948.417297,-520.347473,331.323517,944.833984,-608.236206,70.296913,725.124207,-594.286926,61.545467,497.495514,-566.646057,21.851480,349.095184,-586.461609,18.273378,120.710648,-520.818054,62.072365,90.062164,-751.282837,55.883392,81.586906,-620.557922,490.830139,653.847107,-585.194092,502.180939,485.300018,-568.282227,540.745483,344.654053,-578.267456,549.861145,122.930603,-514.509521,515.896851,89.170593,-748.480774,512.305969,81.991005
9,0,-590.477173,187.577789,444.159912,-584.894470,374.857300,439.973755,-602.269409,97.436249,123.412437,-582.133423,470.789185,120.566818,-687.285095,157.800995,895.324768,-682.623535,409.701904,885.288330,-516.368225,228.596939,948.407837,-520.342712,331.330658,944.840698,-608.255554,70.308243,725.132263,-594.314758,61.539577,497.491608,-566.662720,21.853062,349.104797,-586.458374,18.277308,120.712090,-520.821350,62.068558,90.067215,-751.281799,55.888176,81.581787,-620.539185,490.837738,653.861633,-585.167969,502.183960,485.297729,-568.277161,540.754089,344.655609,-578.273987,549.854980,122.924469,-514.509399,515.904358,89.173859,-748.495911,512.306274,81.990219
