,0,1,2
0,1716883038535426400,78.40226817347745,outward
1,1716883038549375800,77.6737700138656,outward
2,1716883039878103600,63.81790408961997,outward
3,1716883041278750100,66.08617114293666,outward
4,1716883042670637800,64.07301760865273,outward
5,1716883044038201100,43.417533596338735,outward
6,1716883052418524600,-37.472622768513254,inward
7,1716883053808180500,-39.250762717073655,inward
8,1716883055228419800,-29.875009963240675,inward
9,1716883056599654500,-35.50166806431523,inward
10,1716883057948946000,-28.093358490585004,inward
11,1716883059369061300,-22.32311263919867,inward
